iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,4.8010993,319.47577,208.35718,100,3000.0,30.0,10.0,100,39,0.071
1,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,200,139,0.143
2,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,300,139,0.143
3,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,400,139,0.143
4,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,500,139,0.143
5,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,600,139,0.143
6,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,700,139,0.143
7,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,800,139,0.143
8,3.986535,319.9801,205.39987,100,3000.0,30.0,10.0,900,139,0.143
9,3.3244581,310.554,199.13411,100,3000.0,30.0,10.0,1000,909,0.72
10,2.8811975,307.571,199.45319,100,3000.0,30.0,10.0,1100,1009,0.792
11,2.7858477,304.58804,199.77226,100,3000.0,30.0,10.0,1200,1109,0.864
12,2.7858477,304.58804,199.77226,100,3000.0,30.0,10.0,1300,1109,0.864
13,2.7858477,304.58804,199.77226,100,3000.0,30.0,10.0,1400,1109,0.864
14,2.7858477,304.58804,199.77226,100,3000.0,30.0,10.0,1500,1109,0.864
15,2.5482807,414.14185,103.66722,100,3000.0,30.0,10.0,1600,1567,1.155
16,2.5482807,414.14185,103.66722,100,3000.0,30.0,10.0,1700,1567,1.155
17,2.5482807,414.14185,103.66722,100,3000.0,30.0,10.0,1800,1567,1.155
18,2.5482807,414.14185,103.66722,100,3000.0,30.0,10.0,1900,1567,1.155
19,2.5482807,414.14185,103.66722,100,3000.0,30.0,10.0,2000,1567,1.155
20,2.4529524,417.77728,154.44722,100,3000.0,30.0,10.0,2100,2044,1.514
21,1.7268314,414.80383,154.84543,100,3000.0,30.0,10.0,2200,2144,1.586
22,1.3413019,411.83038,155.24364,100,3000.0,30.0,10.0,2300,2244,1.658
23,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2400,2344,1.731
24,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2500,2344,1.731
25,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2600,2344,1.731
26,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2700,2344,1.731
27,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2800,2344,1.731
28,1.3098154,408.85693,155.64185,100,3000.0,30.0,10.0,2900,2344,1.731
29,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3000,2979,2.16
30,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3100,2979,2.16
31,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3200,2979,2.16
32,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3300,2979,2.16
33,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3400,2979,2.16
34,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3500,2979,2.16
35,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3600,2979,2.16
36,1.186697,310.3828,102.75271,100,3000.0,30.0,10.0,3700,2979,2.16
