iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,100,9,0.025
1,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,200,9,0.025
2,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,300,9,0.025
3,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,400,9,0.025
4,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,500,9,0.025
5,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,600,9,0.025
6,7.8272533,1774275325681,189.42177,106.98918,100,3000.0,30.0,10.0,700,9,0.025
7,7.074685,1774275325681,91.318596,155.9245,100,3000.0,30.0,10.0,800,737,0.208
8,7.074685,1774275325681,91.318596,155.9245,100,3000.0,30.0,10.0,900,737,0.208
9,7.074685,1774275325681,91.318596,155.9245,100,3000.0,30.0,10.0,1000,737,0.208
10,4.636284,1774275325681,208.16896,210.38477,100,3000.0,30.0,10.0,1100,1064,0.284
11,2.8650093,1774275325681,206.47292,207.91022,100,3000.0,30.0,10.0,1200,1164,0.304
12,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1300,1264,0.328
13,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1400,1264,0.328
14,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1500,1264,0.328
15,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1600,1264,0.328
16,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1700,1264,0.328
17,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1800,1264,0.328
18,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,1900,1264,0.328
19,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2000,1264,0.328
20,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2100,1264,0.328
21,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2200,1264,0.328
22,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2300,1264,0.328
23,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2400,1264,0.328
24,2.0558586,1774275325681,204.77687,205.43567,100,3000.0,30.0,10.0,2500,1264,0.328
25,1.7751961,1774275325681,199.91782,151.84497,100,3000.0,30.0,10.0,2600,2504,0.639
26,1.3483047,1774275325681,202.91747,151.79874,100,3000.0,30.0,10.0,2700,2604,0.662
27,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,2800,2704,0.686
28,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,2900,2704,0.686
29,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3000,2704,0.686
30,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3100,2704,0.686
31,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3200,2704,0.686
32,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3300,2704,0.686
33,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3400,2704,0.686
34,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3500,2704,0.686
35,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3600,2704,0.686
36,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3700,2704,0.686
37,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3800,2704,0.686
38,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,3900,2704,0.686
39,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4000,2704,0.686
40,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4100,2704,0.686
41,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4200,2704,0.686
42,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4300,2704,0.686
43,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4400,2704,0.686
44,1.2590008,1774275325681,205.91711,151.7525,100,3000.0,30.0,10.0,4500,2704,0.686
45,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,4600,4509,1.089
46,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,4700,4509,1.089
47,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,4800,4509,1.089
48,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,4900,4509,1.089
49,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5000,4509,1.089
50,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5100,4509,1.089
51,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5200,4509,1.089
52,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5300,4509,1.089
53,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5400,4509,1.089
54,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5500,4509,1.089
55,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5600,4509,1.089
56,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5700,4509,1.089
57,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5800,4509,1.089
58,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,5900,4509,1.089
59,1.0439453,1774275325681,203.70985,153.55176,100,3000.0,30.0,10.0,6000,4509,1.089
60,0.5723314,1774275325681,304.90335,151.09096,100,3000.0,30.0,10.0,6100,6004,1.431
61,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6200,6104,1.467
62,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6300,6104,1.467
63,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6400,6104,1.467
64,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6500,6104,1.467
65,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6600,6104,1.467
66,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6700,6104,1.467
67,0.43722153,1774275325681,307.90085,151.21362,100,3000.0,30.0,10.0,6800,6104,1.467
