iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,100,74,0.069
1,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,200,74,0.069
2,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,300,74,0.069
3,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,400,74,0.069
4,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,500,74,0.069
5,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,600,74,0.069
6,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,700,74,0.069
7,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,800,74,0.069
8,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,900,74,0.069
9,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1000,74,0.069
10,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1100,74,0.069
11,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1200,74,0.069
12,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1300,74,0.069
13,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1400,74,0.069
14,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1500,74,0.069
15,3.9313564,195.11717,205.11313,100,3000.0,30.0,10.0,1600,74,0.069
16,3.3751307,308.7731,160.42871,100,3000.0,30.0,10.0,1700,1669,1.244
17,2.7897348,305.84415,159.77974,100,3000.0,30.0,10.0,1800,1769,1.317
18,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,1900,1869,1.389
19,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2000,1869,1.389
20,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2100,1869,1.389
21,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2200,1869,1.389
22,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2300,1869,1.389
23,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2400,1869,1.389
24,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2500,1869,1.389
25,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2600,1869,1.389
26,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2700,1869,1.389
27,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2800,1869,1.389
28,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,2900,1869,1.389
29,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,3000,1869,1.389
30,2.5733218,302.9152,159.13077,100,3000.0,30.0,10.0,3100,1869,1.389
31,1.9312134,199.61162,155.67732,100,3000.0,30.0,10.0,3200,3111,2.339
32,1.4440937,202.61127,155.63188,100,3000.0,30.0,10.0,3300,3211,2.412
33,1.2937632,205.61092,155.58644,100,3000.0,30.0,10.0,3400,3311,2.485
34,1.2937632,205.61092,155.58644,100,3000.0,30.0,10.0,3500,3311,2.485
35,1.0755091,306.10788,205.4174,100,3000.0,30.0,10.0,3600,3537,2.633
36,1.0755091,306.10788,205.4174,100,3000.0,30.0,10.0,3700,3537,2.633
