iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,100,5,0.016
1,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,200,5,0.016
2,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,300,5,0.016
3,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,400,5,0.016
4,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,500,5,0.016
5,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,600,5,0.016
6,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,700,5,0.016
7,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,800,5,0.016
8,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,900,5,0.016
9,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,1000,5,0.016
10,5.405527,1774275366210,112.21583,154.11626,100,3000.0,30.0,10.0,1100,5,0.016
11,4.741852,1774275366210,420.3614,105.036835,100,3000.0,30.0,10.0,1200,1118,0.255
12,3.739602,1774275366210,417.36453,105.17443,100,3000.0,30.0,10.0,1300,1218,0.276
13,3.0413885,1774275366210,414.36768,105.31203,100,3000.0,30.0,10.0,1400,1318,0.297
14,2.6704388,1774275366210,411.37082,105.44962,100,3000.0,30.0,10.0,1500,1418,0.319
15,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,1600,1518,0.343
16,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,1700,1518,0.343
17,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,1800,1518,0.343
18,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,1900,1518,0.343
19,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2000,1518,0.343
20,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2100,1518,0.343
21,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2200,1518,0.343
22,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2300,1518,0.343
23,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2400,1518,0.343
24,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2500,1518,0.343
25,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2600,1518,0.343
26,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2700,1518,0.343
27,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2800,1518,0.343
28,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,2900,1518,0.343
29,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,3000,1518,0.343
30,2.6390676,1774275366210,408.37396,105.58722,100,3000.0,30.0,10.0,3100,1518,0.343
31,2.5422878,1774275366210,404.3062,205.82826,100,3000.0,30.0,10.0,3200,3161,0.716
32,2.5422878,1774275366210,404.3062,205.82826,100,3000.0,30.0,10.0,3300,3161,0.716
33,2.5422878,1774275366210,404.3062,205.82826,100,3000.0,30.0,10.0,3400,3161,0.716
34,2.5422878,1774275366210,404.3062,205.82826,100,3000.0,30.0,10.0,3500,3161,0.716
35,2.1090202,1774275366210,203.51968,101.78213,100,3000.0,30.0,10.0,3600,3553,0.806
36,2.0190096,1774275366210,206.45331,102.40972,100,3000.0,30.0,10.0,3700,3653,0.83
37,2.0190096,1774275366210,206.45331,102.40972,100,3000.0,30.0,10.0,3800,3653,0.83
38,2.0190096,1774275366210,206.45331,102.40972,100,3000.0,30.0,10.0,3900,3653,0.83
39,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4000,3975,0.895
40,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4100,3975,0.895
41,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4200,3975,0.895
42,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4300,3975,0.895
43,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4400,3975,0.895
44,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4500,3975,0.895
45,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4600,3975,0.895
46,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4700,3975,0.895
47,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4800,3975,0.895
48,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,4900,3975,0.895
49,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5000,3975,0.895
50,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5100,3975,0.895
51,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5200,3975,0.895
52,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5300,3975,0.895
53,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5400,3975,0.895
54,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5500,3975,0.895
55,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5600,3975,0.895
56,2.0118961,1774275366210,204.40657,102.94733,100,3000.0,30.0,10.0,5700,3975,0.895
57,1.8891888,1774275366210,313.27167,101.011955,100,3000.0,30.0,10.0,5800,5721,1.277
58,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,5900,5855,1.299
59,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6000,5855,1.299
60,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6100,5855,1.299
61,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6200,5855,1.299
62,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6300,5855,1.299
63,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6400,5855,1.299
64,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6500,5855,1.299
65,1.5297213,1774275366210,312.42374,205.09157,100,3000.0,30.0,10.0,6600,5855,1.299
66,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,6700,6651,1.482
67,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,6800,6651,1.482
68,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,6900,6651,1.482
69,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,7000,6651,1.482
70,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,7100,6651,1.482
71,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,7200,6651,1.482
72,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,7300,6651,1.482
73,1.4629765,1774275366210,316.0733,153.2448,100,3000.0,30.0,10.0,7400,6651,1.482
74,0.46085835,1774275366210,302.49597,152.82793,100,3000.0,30.0,10.0,7500,7453,1.67
75,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,7600,7553,1.7
76,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,7700,7553,1.7
77,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,7800,7553,1.7
78,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,7900,7553,1.7
79,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8000,7553,1.7
80,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8100,7553,1.7
81,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8200,7553,1.7
82,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8300,7553,1.7
83,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8400,7553,1.7
84,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8500,7553,1.7
85,0.41302395,1774275366210,304.10913,155.3573,100,3000.0,30.0,10.0,8600,7553,1.7
86,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,8700,8617,1.989
87,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,8800,8617,1.989
88,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,8900,8617,1.989
89,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9000,8617,1.989
90,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9100,8617,1.989
91,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9200,8617,1.989
92,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9300,8617,1.989
93,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9400,8617,1.989
94,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9500,8617,1.989
95,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9600,8617,1.989
96,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9700,8617,1.989
97,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9800,8617,1.989
98,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,9900,8617,1.989
99,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10000,8617,1.989
100,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10100,8617,1.989
101,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10200,8617,1.989
102,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10300,8617,1.989
103,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10400,8617,1.989
104,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10500,8617,1.989
105,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10600,8617,1.989
106,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10700,8617,1.989
107,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10800,8617,1.989
108,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,10900,8617,1.989
109,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,11000,8617,1.989
110,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,11100,8617,1.989
111,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,11200,8617,1.989
112,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,11300,8617,1.989
113,0.2091074,1774275366210,309.4116,154.84302,100,3000.0,30.0,10.0,11400,8617,1.989
114,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,11500,11433,2.676
115,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,11600,11433,2.676
116,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,11700,11433,2.676
117,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,11800,11433,2.676
118,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,11900,11433,2.676
119,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,12000,11433,2.676
120,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,12100,11433,2.676
121,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,12200,11433,2.676
122,0.14466572,1774275366210,305.49902,152.50883,100,3000.0,30.0,10.0,12300,11433,2.676
123,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12400,12322,2.892
124,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12500,12322,2.892
125,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12600,12322,2.892
126,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12700,12322,2.892
127,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12800,12322,2.892
128,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,12900,12322,2.892
129,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13000,12322,2.892
130,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13100,12322,2.892
131,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13200,12322,2.892
132,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13300,12322,2.892
133,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13400,12322,2.892
134,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13500,12322,2.892
135,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13600,12322,2.892
136,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13700,12322,2.892
137,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13800,12322,2.892
138,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,13900,12322,2.892
139,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14000,12322,2.892
140,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14100,12322,2.892
141,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14200,12322,2.892
142,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14300,12322,2.892
143,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14400,12322,2.892
144,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14500,12322,2.892
145,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14600,12322,2.892
146,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14700,12322,2.892
147,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14800,12322,2.892
148,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,14900,12322,2.892
149,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15000,12322,2.892
150,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15100,12322,2.892
151,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15200,12322,2.892
152,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15300,12322,2.892
153,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15400,12322,2.892
154,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15500,12322,2.892
155,0.111504555,1774275366210,306.9686,154.8094,100,3000.0,30.0,10.0,15600,12322,2.892
