iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,4.158901,1774481123877,319.6454,100.43561,100,2985.0,10.0,2.0,100,64,0.004
1,2.8539934,1774481123877,317.2293,102.21399,100,2970.075,10.0,2.0,200,164,0.008
2,2.206028,1774481123877,314.81323,103.99237,100,2955.2246,10.0,2.0,300,264,0.038
3,2.206028,1774481123877,314.81323,103.99237,100,2940.4485,10.0,2.0,400,264,0.038
4,2.206028,1774481123877,314.81323,103.99237,100,2925.7463,10.0,2.0,500,264,0.038
5,2.206028,1774481123877,314.81323,103.99237,100,2911.1177,10.0,2.0,600,264,0.038
6,2.206028,1774481123877,314.81323,103.99237,100,2896.562,10.0,2.0,700,264,0.038
7,2.206028,1774481123877,314.81323,103.99237,100,2882.079,10.0,2.0,800,264,0.038
8,2.206028,1774481123877,314.81323,103.99237,100,2867.6687,10.0,2.0,900,264,0.038
9,2.206028,1774481123877,314.81323,103.99237,100,2853.3303,10.0,2.0,1000,264,0.038
10,2.206028,1774481123877,314.81323,103.99237,100,2839.0637,10.0,2.0,1100,264,0.038
11,1.1482992,1774481123877,299.56323,154.52592,100,2824.8684,10.0,2.0,1200,1180,0.196
12,0.9698267,1774481123877,300.9146,151.84753,100,2810.7441,10.0,2.0,1300,1280,0.222
13,0.9698267,1774481123877,300.9146,151.84753,100,2796.6904,10.0,2.0,1400,1280,0.222
14,0.9698267,1774481123877,300.9146,151.84753,100,2782.707,10.0,2.0,1500,1280,0.222
15,0.9698267,1774481123877,300.9146,151.84753,100,2768.7935,10.0,2.0,1600,1280,0.222
16,0.9698267,1774481123877,300.9146,151.84753,100,2754.9495,10.0,2.0,1700,1280,0.222
17,0.9698267,1774481123877,300.9146,151.84753,100,2741.1748,10.0,2.0,1800,1280,0.222
18,0.9698267,1774481123877,300.9146,151.84753,100,2727.469,10.0,2.0,1900,1280,0.222
19,0.9698267,1774481123877,300.9146,151.84753,100,2713.8315,10.0,2.0,2000,1280,0.222
20,0.9698267,1774481123877,300.9146,151.84753,100,2700.2625,10.0,2.0,2100,1280,0.222
21,0.9698267,1774481123877,300.9146,151.84753,100,2686.7612,10.0,2.0,2200,1280,0.222
22,0.9698267,1774481123877,300.9146,151.84753,100,2673.3274,10.0,2.0,2300,1280,0.222
23,0.9698267,1774481123877,300.9146,151.84753,100,2659.9607,10.0,2.0,2400,1280,0.222
24,0.9698267,1774481123877,300.9146,151.84753,100,2646.661,10.0,2.0,2500,1280,0.222
25,0.9698267,1774481123877,300.9146,151.84753,100,2633.4275,10.0,2.0,2600,1280,0.222
26,0.9698267,1774481123877,300.9146,151.84753,100,2620.2603,10.0,2.0,2700,1280,0.222
27,0.9698267,1774481123877,300.9146,151.84753,100,2607.159,10.0,2.0,2800,1280,0.222
28,0.9698267,1774481123877,300.9146,151.84753,100,2594.123,10.0,2.0,2900,1280,0.222
29,0.9698267,1774481123877,300.9146,151.84753,100,2581.1523,10.0,2.0,3000,1280,0.222
30,0.9698267,1774481123877,300.9146,151.84753,100,2568.2466,10.0,2.0,3100,1280,0.222
31,0.9698267,1774481123877,300.9146,151.84753,100,2555.4053,10.0,2.0,3200,1280,0.222
32,0.9698267,1774481123877,300.9146,151.84753,100,2542.6282,10.0,2.0,3300,1280,0.222
33,0.9698267,1774481123877,300.9146,151.84753,100,2529.915,10.0,2.0,3400,1280,0.222
34,0.9698267,1774481123877,300.9146,151.84753,100,2517.2654,10.0,2.0,3500,1280,0.222
