iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,8.387664,506.1938,51.931446,100,3000.0,30.0,10.0,100,49,0.075
1,8.387664,506.1938,51.931446,100,3000.0,30.0,10.0,200,49,0.075
2,6.9209948,418.75394,211.2036,100,3000.0,30.0,10.0,300,213,0.231
3,4.5756454,416.6506,209.06445,100,3000.0,30.0,10.0,400,313,0.306
4,2.979123,414.54727,206.92531,100,3000.0,30.0,10.0,500,413,0.378
5,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,600,513,0.451
6,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,700,513,0.451
7,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,800,513,0.451
8,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,900,513,0.451
9,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1000,513,0.451
10,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1100,513,0.451
11,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1200,513,0.451
12,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1300,513,0.451
13,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1400,513,0.451
14,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1500,513,0.451
15,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1600,513,0.451
16,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1700,513,0.451
17,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1800,513,0.451
18,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,1900,513,0.451
19,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,2000,513,0.451
20,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,2100,513,0.451
21,2.2076607,412.44394,204.78616,100,3000.0,30.0,10.0,2200,513,0.451
22,1.6425524,209.2746,151.43245,100,3000.0,30.0,10.0,2300,2272,1.693
23,1.4031315,209.6952,154.40282,100,3000.0,30.0,10.0,2400,2372,1.766
24,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,2500,2431,1.838
25,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,2600,2431,1.838
26,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,2700,2431,1.838
27,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,2800,2431,1.838
28,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,2900,2431,1.838
29,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3000,2431,1.838
30,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3100,2431,1.838
31,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3200,2431,1.838
32,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3300,2431,1.838
33,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3400,2431,1.838
34,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3500,2431,1.838
35,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3600,2431,1.838
36,1.1029091,309.0764,101.91834,100,3000.0,30.0,10.0,3700,2431,1.838
