iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,9.383999,1774480450475,284.336,103.02349,100,4975.0,30.0,10.0,100,19,0.003
1,9.269378,1774480450475,203.31076,214.91492,100,4950.125,30.0,10.0,200,124,0.007
2,6.703372,1774480450475,201.5614,212.47777,100,4925.3745,30.0,10.0,300,224,0.032
3,4.7774177,1774480450475,199.81204,210.04062,100,4900.7476,30.0,10.0,400,324,0.047
4,3.6768045,1774480450475,198.06268,207.60347,100,4876.2437,30.0,10.0,500,424,0.065
5,3.5225534,1774480450475,196.31332,205.16632,100,4851.8623,30.0,10.0,600,524,0.079
6,3.5225534,1774480450475,196.31332,205.16632,100,4827.603,30.0,10.0,700,524,0.079
7,3.5225534,1774480450475,196.31332,205.16632,100,4803.465,30.0,10.0,800,524,0.079
8,3.5225534,1774480450475,196.31332,205.16632,100,4779.4478,30.0,10.0,900,524,0.079
9,3.5225534,1774480450475,196.31332,205.16632,100,4755.551,30.0,10.0,1000,524,0.079
10,3.5225534,1774480450475,196.31332,205.16632,100,4731.773,30.0,10.0,1100,524,0.079
11,3.5225534,1774480450475,196.31332,205.16632,100,4708.1143,30.0,10.0,1200,524,0.079
12,3.5225534,1774480450475,196.31332,205.16632,100,4684.5737,30.0,10.0,1300,524,0.079
13,2.9790154,1774480450475,303.3795,209.34953,100,4661.151,30.0,10.0,1400,1334,0.22
14,2.3147812,1774480450475,301.08572,207.41597,100,4637.845,30.0,10.0,1500,1434,0.234
15,2.3147812,1774480450475,301.08572,207.41597,100,4614.6562,30.0,10.0,1600,1434,0.234
16,2.3147812,1774480450475,301.08572,207.41597,100,4591.583,30.0,10.0,1700,1434,0.234
17,2.3147812,1774480450475,301.08572,207.41597,100,4568.625,30.0,10.0,1800,1434,0.234
18,2.3147812,1774480450475,301.08572,207.41597,100,4545.7817,30.0,10.0,1900,1434,0.234
19,2.3147812,1774480450475,301.08572,207.41597,100,4523.0527,30.0,10.0,2000,1434,0.234
20,2.3147812,1774480450475,301.08572,207.41597,100,4500.4375,30.0,10.0,2100,1434,0.234
21,1.5169315,1774480450475,302.54962,101.42193,100,4477.9355,30.0,10.0,2200,2166,0.358
22,1.3490582,1774480450475,303.93417,104.08333,100,4455.546,30.0,10.0,2300,2266,0.374
23,1.3490582,1774480450475,303.93417,104.08333,100,4433.268,30.0,10.0,2400,2266,0.374
24,1.3490582,1774480450475,303.93417,104.08333,100,4411.1016,30.0,10.0,2500,2266,0.374
25,1.3490582,1774480450475,303.93417,104.08333,100,4389.046,30.0,10.0,2600,2266,0.374
26,1.3490582,1774480450475,303.93417,104.08333,100,4367.1006,30.0,10.0,2700,2266,0.374
27,1.3490582,1774480450475,303.93417,104.08333,100,4345.265,30.0,10.0,2800,2266,0.374
28,1.3490582,1774480450475,303.93417,104.08333,100,4323.539,30.0,10.0,2900,2266,0.374
29,1.3490582,1774480450475,303.93417,104.08333,100,4301.9214,30.0,10.0,3000,2266,0.374
30,1.3490582,1774480450475,303.93417,104.08333,100,4280.4116,30.0,10.0,3100,2266,0.374
31,1.3490582,1774480450475,303.93417,104.08333,100,4259.01,30.0,10.0,3200,2266,0.374
32,1.3490582,1774480450475,303.93417,104.08333,100,4237.715,30.0,10.0,3300,2266,0.374
