iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,4.388481,506.92554,152.43007,100,10.0,30.0,30.0,100,11,0.461
1,4.388481,506.92554,152.43007,100,10.0,30.0,30.0,200,11,0.461
2,4.388481,506.92554,152.43007,100,10.0,30.0,30.0,300,11,0.461
3,4.1228943,508.82288,154.46533,100,10.0,30.0,30.0,400,311,0.509
4,4.0868473,192.23943,153.50665,100,10.0,30.0,30.0,500,494,0.526
5,2.8679705,195.23943,153.50835,100,10.0,30.0,30.0,600,594,0.54
6,1.9322109,198.23943,153.51004,100,10.0,30.0,30.0,700,694,0.558
7,1.3090477,201.23943,153.51173,100,10.0,30.0,30.0,800,794,0.576
8,1.0174608,204.23943,153.51343,100,10.0,30.0,30.0,900,894,0.591
9,1.0174608,204.23943,153.51343,100,10.0,30.0,30.0,1000,894,0.591
10,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1100,1094,0.626
11,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1200,1094,0.626
12,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1300,1094,0.626
13,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1400,1094,0.626
14,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1500,1094,0.626
15,1.0174599,204.23943,153.51349,100,10.0,30.0,30.0,1600,1094,0.626
16,1.0172291,204.23967,153.53246,100,10.0,30.0,30.0,1700,1694,0.721
17,1.0172291,204.23967,153.53246,100,10.0,30.0,30.0,1800,1694,0.721
18,1.0172291,204.23967,153.53246,100,10.0,30.0,30.0,1900,1694,0.721
19,1.0172291,204.23967,153.53246,100,10.0,30.0,30.0,2000,1694,0.721
20,1.0167418,204.24696,153.64505,100,10.0,30.0,30.0,2100,2094,0.787
21,1.0167418,204.24696,153.64505,100,10.0,30.0,30.0,2200,2094,0.787
22,1.016654,204.24625,153.62225,100,10.0,30.0,30.0,2300,2294,0.824
23,1.016654,204.24625,153.62225,100,10.0,30.0,30.0,2400,2294,0.824
24,1.016654,204.24625,153.62225,100,10.0,30.0,30.0,2500,2294,0.824
25,1.016654,204.24625,153.62225,100,10.0,30.0,30.0,2600,2294,0.824
