iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,7.233913,295.6297,258.7976,100,3000.0,30.0,10.0,100,11,0.068
1,6.2232757,296.12305,255.83846,100,3000.0,30.0,10.0,200,111,0.143
2,6.2232757,296.12305,255.83846,100,3000.0,30.0,10.0,300,111,0.143
3,6.2232757,296.12305,255.83846,100,3000.0,30.0,10.0,400,111,0.143
4,6.2232757,296.12305,255.83846,100,3000.0,30.0,10.0,500,111,0.143
5,5.4648066,419.82367,98.387024,100,3000.0,30.0,10.0,600,558,0.437
6,4.1972446,416.8605,98.85564,100,3000.0,30.0,10.0,700,658,0.508
7,3.259016,413.89734,99.32425,100,3000.0,30.0,10.0,800,758,0.579
8,2.6716232,410.93417,99.79286,100,3000.0,30.0,10.0,900,858,0.651
9,2.446023,407.971,100.261475,100,3000.0,30.0,10.0,1000,958,0.723
10,2.446023,407.971,100.261475,100,3000.0,30.0,10.0,1100,958,0.723
11,1.296135,207.89467,152.07315,100,3000.0,30.0,10.0,1200,1190,0.873
12,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1300,1290,0.946
13,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1400,1290,0.946
14,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1500,1290,0.946
15,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1600,1290,0.946
16,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1700,1290,0.946
17,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1800,1290,0.946
18,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,1900,1290,0.946
19,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2000,1290,0.946
20,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2100,1290,0.946
21,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2200,1290,0.946
22,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2300,1290,0.946
23,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2400,1290,0.946
24,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2500,1290,0.946
25,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2600,1290,0.946
26,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2700,1290,0.946
27,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2800,1290,0.946
28,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,2900,1290,0.946
29,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3000,1290,0.946
30,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3100,1290,0.946
31,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3200,1290,0.946
32,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3300,1290,0.946
33,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3400,1290,0.946
34,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3500,1290,0.946
35,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3600,1290,0.946
36,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3700,1290,0.946
37,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3800,1290,0.946
38,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,3900,1290,0.946
39,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,4000,1290,0.946
40,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,4100,1290,0.946
41,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,4200,1290,0.946
42,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,4300,1290,0.946
43,1.0579777,206.04698,154.43663,100,3000.0,30.0,10.0,4400,1290,0.946
44,0.93778324,312.80664,151.4468,100,3000.0,30.0,10.0,4500,4454,3.245
45,0.20449448,310.18668,152.90825,100,3000.0,30.0,10.0,4600,4554,3.317
46,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,4700,4654,3.389
47,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,4800,4654,3.389
48,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,4900,4654,3.389
49,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5000,4654,3.389
50,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5100,4654,3.389
51,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5200,4654,3.389
52,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5300,4654,3.389
53,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5400,4654,3.389
54,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5500,4654,3.389
55,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5600,4654,3.389
56,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5700,4654,3.389
57,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5800,4654,3.389
58,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,5900,4654,3.389
59,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6000,4654,3.389
60,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6100,4654,3.389
61,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6200,4654,3.389
62,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6300,4654,3.389
63,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6400,4654,3.389
64,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6500,4654,3.389
65,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6600,4654,3.389
66,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6700,4654,3.389
67,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6800,4654,3.389
68,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,6900,4654,3.389
69,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7000,4654,3.389
70,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7100,4654,3.389
71,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7200,4654,3.389
72,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7300,4654,3.389
73,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7400,4654,3.389
74,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7500,4654,3.389
75,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7600,4654,3.389
76,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7700,4654,3.389
77,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7800,4654,3.389
78,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,7900,4654,3.389
79,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,8000,4654,3.389
80,0.047346115,307.5667,154.3697,100,3000.0,30.0,10.0,8100,4654,3.389
