iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,11.044768,1774481093735,512.1148,213.93404,100,2985.0,10.0,2.0,100,7,0.252
1,8.096056,1774481093735,511.09332,211.1133,100,2970.075,10.0,2.0,200,107,0.274
2,6.0405407,1774481093735,510.07184,208.29256,100,2955.2246,10.0,2.0,300,207,0.286
3,5.1093283,1774481093735,509.05035,205.47182,100,2940.4485,10.0,2.0,400,307,0.305
4,4.443762,1774481093735,194.42671,206.46017,100,2925.7463,10.0,2.0,500,427,0.32
5,3.4027643,1774481093735,196.59929,204.39139,100,2911.1177,10.0,2.0,600,527,0.339
6,3.1616688,1774481093735,198.77187,202.3226,100,2896.562,10.0,2.0,700,627,0.351
7,3.1179304,1774481093735,317.58163,101.24255,100,2882.079,10.0,2.0,800,769,0.368
8,2.0978804,1774481093735,314.90527,102.59794,100,2867.6687,10.0,2.0,900,869,0.385
9,1.5960989,1774481093735,312.2289,103.95332,100,2853.3303,10.0,2.0,1000,969,0.401
10,1.5960989,1774481093735,312.2289,103.95332,100,2839.0637,10.0,2.0,1100,969,0.401
11,1.5960989,1774481093735,312.2289,103.95332,100,2824.8684,10.0,2.0,1200,969,0.401
12,1.5960989,1774481093735,312.2289,103.95332,100,2810.7441,10.0,2.0,1300,969,0.401
13,1.5960989,1774481093735,312.2289,103.95332,100,2796.6904,10.0,2.0,1400,969,0.401
14,1.5960989,1774481093735,312.2289,103.95332,100,2782.707,10.0,2.0,1500,969,0.401
15,1.5960989,1774481093735,312.2289,103.95332,100,2768.7935,10.0,2.0,1600,969,0.401
16,1.5960989,1774481093735,312.2289,103.95332,100,2754.9495,10.0,2.0,1700,969,0.401
17,1.5960989,1774481093735,312.2289,103.95332,100,2741.1748,10.0,2.0,1800,969,0.401
18,1.5960989,1774481093735,312.2289,103.95332,100,2727.469,10.0,2.0,1900,969,0.401
19,1.5960989,1774481093735,312.2289,103.95332,100,2713.8315,10.0,2.0,2000,969,0.401
20,1.5960989,1774481093735,312.2289,103.95332,100,2700.2625,10.0,2.0,2100,969,0.401
21,1.5960989,1774481093735,312.2289,103.95332,100,2686.7612,10.0,2.0,2200,969,0.401
22,1.5960989,1774481093735,312.2289,103.95332,100,2673.3274,10.0,2.0,2300,969,0.401
23,1.5960989,1774481093735,312.2289,103.95332,100,2659.9607,10.0,2.0,2400,969,0.401
24,1.5960989,1774481093735,312.2289,103.95332,100,2646.661,10.0,2.0,2500,969,0.401
25,1.5960989,1774481093735,312.2289,103.95332,100,2633.4275,10.0,2.0,2600,969,0.401
26,1.5960989,1774481093735,312.2289,103.95332,100,2620.2603,10.0,2.0,2700,969,0.401
27,1.5960989,1774481093735,312.2289,103.95332,100,2607.159,10.0,2.0,2800,969,0.401
28,1.5960989,1774481093735,312.2289,103.95332,100,2594.123,10.0,2.0,2900,969,0.401
29,1.5960989,1774481093735,312.2289,103.95332,100,2581.1523,10.0,2.0,3000,969,0.401
30,1.5960989,1774481093735,312.2289,103.95332,100,2568.2466,10.0,2.0,3100,969,0.401
31,1.5960989,1774481093735,312.2289,103.95332,100,2555.4053,10.0,2.0,3200,969,0.401
32,1.5960989,1774481093735,312.2289,103.95332,100,2542.6282,10.0,2.0,3300,969,0.401
33,1.5960989,1774481093735,312.2289,103.95332,100,2529.915,10.0,2.0,3400,969,0.401
34,1.5960989,1774481093735,312.2289,103.95332,100,2517.2654,10.0,2.0,3500,969,0.401
35,1.5960989,1774481093735,312.2289,103.95332,100,2504.679,10.0,2.0,3600,969,0.401
36,1.5960989,1774481093735,312.2289,103.95332,100,2492.1555,10.0,2.0,3700,969,0.401
37,1.5960989,1774481093735,312.2289,103.95332,100,2479.6948,10.0,2.0,3800,969,0.401
38,1.5960989,1774481093735,312.2289,103.95332,100,2467.2964,10.0,2.0,3900,969,0.401
39,1.5960989,1774481093735,312.2289,103.95332,100,2454.96,10.0,2.0,4000,969,0.401
40,1.5960989,1774481093735,312.2289,103.95332,100,2442.685,10.0,2.0,4100,969,0.401
41,1.5960989,1774481093735,312.2289,103.95332,100,2430.4717,10.0,2.0,4200,969,0.401
42,1.5960989,1774481093735,312.2289,103.95332,100,2418.3193,10.0,2.0,4300,969,0.401
43,1.5960989,1774481093735,312.2289,103.95332,100,2406.2278,10.0,2.0,4400,969,0.401
44,1.5960989,1774481093735,312.2289,103.95332,100,2394.1968,10.0,2.0,4500,969,0.401
45,1.5960989,1774481093735,312.2289,103.95332,100,2382.2258,10.0,2.0,4600,969,0.401
46,1.5960989,1774481093735,312.2289,103.95332,100,2370.3147,10.0,2.0,4700,969,0.401
47,1.5960989,1774481093735,312.2289,103.95332,100,2358.4631,10.0,2.0,4800,969,0.401
48,1.5960989,1774481093735,312.2289,103.95332,100,2346.671,10.0,2.0,4900,969,0.401
49,1.5960989,1774481093735,312.2289,103.95332,100,2334.9375,10.0,2.0,5000,969,0.401
50,1.5960989,1774481093735,312.2289,103.95332,100,2323.263,10.0,2.0,5100,969,0.401
51,1.5960989,1774481093735,312.2289,103.95332,100,2311.6467,10.0,2.0,5200,969,0.401
52,1.5960989,1774481093735,312.2289,103.95332,100,2300.0886,10.0,2.0,5300,969,0.401
53,1.5960989,1774481093735,312.2289,103.95332,100,2288.5881,10.0,2.0,5400,969,0.401
54,1.5960989,1774481093735,312.2289,103.95332,100,2277.1453,10.0,2.0,5500,969,0.401
55,1.5960989,1774481093735,312.2289,103.95332,100,2265.7595,10.0,2.0,5600,969,0.401
56,1.5960989,1774481093735,312.2289,103.95332,100,2254.4307,10.0,2.0,5700,969,0.401
57,1.5960989,1774481093735,312.2289,103.95332,100,2243.1584,10.0,2.0,5800,969,0.401
58,1.5960989,1774481093735,312.2289,103.95332,100,2231.9426,10.0,2.0,5900,969,0.401
59,1.2480526,1774481093735,307.21985,206.37271,100,2220.783,10.0,2.0,6000,5904,1.246
60,1.0867491,1774481093735,306.12866,203.57819,100,2209.679,10.0,2.0,6100,6004,1.256
61,1.0867491,1774481093735,306.12866,203.57819,100,2198.6306,10.0,2.0,6200,6004,1.256
62,1.0867491,1774481093735,306.12866,203.57819,100,2187.6375,10.0,2.0,6300,6004,1.256
63,1.0867491,1774481093735,306.12866,203.57819,100,2176.6992,10.0,2.0,6400,6004,1.256
64,1.0867491,1774481093735,306.12866,203.57819,100,2165.8157,10.0,2.0,6500,6004,1.256
65,1.0867491,1774481093735,306.12866,203.57819,100,2154.9866,10.0,2.0,6600,6004,1.256
66,1.0867491,1774481093735,306.12866,203.57819,100,2144.2117,10.0,2.0,6700,6004,1.256
67,0.5194311,1774481093735,302.05304,154.14345,100,2133.4907,10.0,2.0,6800,6706,1.373
68,0.5194311,1774481093735,302.05304,154.14345,100,2122.8232,10.0,2.0,6900,6706,1.373
69,0.5194311,1774481093735,302.05304,154.14345,100,2112.2092,10.0,2.0,7000,6706,1.373
70,0.5194311,1774481093735,302.05304,154.14345,100,2101.6482,10.0,2.0,7100,6706,1.373
71,0.5194311,1774481093735,302.05304,154.14345,100,2091.14,10.0,2.0,7200,6706,1.373
72,0.5194311,1774481093735,302.05304,154.14345,100,2080.684,10.0,2.0,7300,6706,1.373
73,0.5194311,1774481093735,302.05304,154.14345,100,2070.2808,10.0,2.0,7400,6706,1.373
74,0.5194311,1774481093735,302.05304,154.14345,100,2059.9294,10.0,2.0,7500,6706,1.373
75,0.5194311,1774481093735,302.05304,154.14345,100,2049.63,10.0,2.0,7600,6706,1.373
76,0.5194311,1774481093735,302.05304,154.14345,100,2039.3817,10.0,2.0,7700,6706,1.373
77,0.5194311,1774481093735,302.05304,154.14345,100,2029.1848,10.0,2.0,7800,6706,1.373
78,0.5194311,1774481093735,302.05304,154.14345,100,2019.039,10.0,2.0,7900,6706,1.373
79,0.5194311,1774481093735,302.05304,154.14345,100,2008.9437,10.0,2.0,8000,6706,1.373
80,0.5194311,1774481093735,302.05304,154.14345,100,1998.899,10.0,2.0,8100,6706,1.373
81,0.44587135,1774481093735,302.99878,154.8272,100,1988.9045,10.0,2.0,8200,8158,1.62
82,0.43327522,1774481093735,303.76657,151.92711,100,1978.9601,10.0,2.0,8300,8258,1.627
83,0.43327522,1774481093735,303.76657,151.92711,100,1969.0653,10.0,2.0,8400,8258,1.627
84,0.43327522,1774481093735,303.76657,151.92711,100,1959.22,10.0,2.0,8500,8258,1.627
85,0.43327522,1774481093735,303.76657,151.92711,100,1949.4238,10.0,2.0,8600,8258,1.627
86,0.43327522,1774481093735,303.76657,151.92711,100,1939.6768,10.0,2.0,8700,8258,1.627
87,0.43327522,1774481093735,303.76657,151.92711,100,1929.9784,10.0,2.0,8800,8258,1.627
88,0.43327522,1774481093735,303.76657,151.92711,100,1920.3285,10.0,2.0,8900,8258,1.627
89,0.43327522,1774481093735,303.76657,151.92711,100,1910.7268,10.0,2.0,9000,8258,1.627
90,0.43327522,1774481093735,303.76657,151.92711,100,1901.1732,10.0,2.0,9100,8258,1.627
91,0.43327522,1774481093735,303.76657,151.92711,100,1891.6674,10.0,2.0,9200,8258,1.627
92,0.43327522,1774481093735,303.76657,151.92711,100,1882.209,10.0,2.0,9300,8258,1.627
93,0.43327522,1774481093735,303.76657,151.92711,100,1872.798,10.0,2.0,9400,8258,1.627
94,0.43327522,1774481093735,303.76657,151.92711,100,1863.434,10.0,2.0,9500,8258,1.627
95,0.43327522,1774481093735,303.76657,151.92711,100,1854.1168,10.0,2.0,9600,8258,1.627
96,0.43327522,1774481093735,303.76657,151.92711,100,1844.8462,10.0,2.0,9700,8258,1.627
