iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,4.4615145,193.9984,101.36047,100,3000.0,30.0,10.0,100,84,0.071
1,4.41446,216.80717,149.85716,100,3000.0,30.0,10.0,200,187,0.148
2,3.7924614,213.88638,149.17235,100,3000.0,30.0,10.0,300,287,0.222
3,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,400,387,0.296
4,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,500,387,0.296
5,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,600,387,0.296
6,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,700,387,0.296
7,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,800,387,0.296
8,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,900,387,0.296
9,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,1000,387,0.296
10,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,1100,387,0.296
11,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,1200,387,0.296
12,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,1300,387,0.296
13,3.504693,210.96559,148.48753,100,3000.0,30.0,10.0,1400,387,0.296
14,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,1500,1480,1.121
15,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,1600,1480,1.121
16,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,1700,1480,1.121
17,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,1800,1480,1.121
18,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,1900,1480,1.121
19,3.1116562,194.9628,154.97743,100,3000.0,30.0,10.0,2000,1480,1.121
20,3.0402222,199.25856,157.88261,100,3000.0,30.0,10.0,2100,2097,1.581
21,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2200,2197,1.655
22,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2300,2197,1.655
23,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2400,2197,1.655
24,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2500,2197,1.655
25,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2600,2197,1.655
26,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2700,2197,1.655
27,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2800,2197,1.655
28,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,2900,2197,1.655
29,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,3000,2197,1.655
30,2.44588,197.39432,155.53217,100,3000.0,30.0,10.0,3100,2197,1.655
31,1.6041565,307.41602,201.68628,100,3000.0,30.0,10.0,3200,3174,2.389
32,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3300,3274,2.462
33,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3400,3274,2.462
34,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3500,3274,2.462
35,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3600,3274,2.462
36,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3700,3274,2.462
37,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3800,3274,2.462
38,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,3900,3274,2.462
39,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4000,3274,2.462
40,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4100,3274,2.462
41,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4200,3274,2.462
42,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4300,3274,2.462
43,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4400,3274,2.462
44,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4500,3274,2.462
45,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4600,3274,2.462
46,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4700,3274,2.462
47,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4800,3274,2.462
48,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,4900,3274,2.462
49,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5000,3274,2.462
50,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5100,3274,2.462
51,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5200,3274,2.462
52,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5300,3274,2.462
53,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5400,3274,2.462
54,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5500,3274,2.462
55,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5600,3274,2.462
56,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5700,3274,2.462
57,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5800,3274,2.462
58,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,5900,3274,2.462
59,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,6000,3274,2.462
60,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,6100,3274,2.462
61,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,6200,3274,2.462
62,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,6300,3274,2.462
63,1.0840855,309.18924,204.10614,100,3000.0,30.0,10.0,6400,3274,2.462
