iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,2.1041832,313.30215,157.96475,100,3000.0,30.0,10.0,100,93,0.076
1,1.1105452,310.42896,157.1018,100,3000.0,30.0,10.0,200,193,0.163
2,0.52483845,307.55576,156.23886,100,3000.0,30.0,10.0,300,293,0.241
3,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,400,393,0.356
4,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,500,393,0.356
5,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,600,393,0.356
6,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,700,393,0.356
7,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,800,393,0.356
8,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,900,393,0.356
9,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1000,393,0.356
10,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1100,393,0.356
11,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1200,393,0.356
12,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1300,393,0.356
13,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1400,393,0.356
14,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1500,393,0.356
15,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1600,393,0.356
16,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1700,393,0.356
17,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1800,393,0.356
18,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,1900,393,0.356
19,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2000,393,0.356
20,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2100,393,0.356
21,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2200,393,0.356
22,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2300,393,0.356
23,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2400,393,0.356
24,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2500,393,0.356
25,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2600,393,0.356
26,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2700,393,0.356
27,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2800,393,0.356
28,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,2900,393,0.356
29,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3000,393,0.356
30,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3100,393,0.356
31,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3200,393,0.356
32,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3300,393,0.356
33,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3400,393,0.356
34,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3500,393,0.356
35,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3600,393,0.356
36,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3700,393,0.356
37,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3800,393,0.356
38,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,3900,393,0.356
39,0.35741806,304.68256,155.37592,100,3000.0,30.0,10.0,4000,393,0.356
40,0.327631,309.55142,151.87949,100,3000.0,30.0,10.0,4100,4049,3.652
41,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4200,4149,3.725
42,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4300,4149,3.725
43,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4400,4149,3.725
44,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4500,4149,3.725
45,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4600,4149,3.725
46,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4700,4149,3.725
47,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4800,4149,3.725
48,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,4900,4149,3.725
49,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5000,4149,3.725
50,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5100,4149,3.725
51,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5200,4149,3.725
52,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5300,4149,3.725
53,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5400,4149,3.725
54,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5500,4149,3.725
55,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5600,4149,3.725
56,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5700,4149,3.725
57,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5800,4149,3.725
58,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,5900,4149,3.725
59,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6000,4149,3.725
60,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6100,4149,3.725
61,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6200,4149,3.725
62,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6300,4149,3.725
63,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6400,4149,3.725
64,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6500,4149,3.725
65,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6600,4149,3.725
66,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6700,4149,3.725
67,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6800,4149,3.725
68,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,6900,4149,3.725
69,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,7000,4149,3.725
70,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,7100,4149,3.725
71,0.21202087,306.55237,151.95506,100,3000.0,30.0,10.0,7200,4149,3.725
72,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7300,7272,5.977
73,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7400,7272,5.977
74,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7500,7272,5.977
75,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7600,7272,5.977
76,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7700,7272,5.977
77,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7800,7272,5.977
78,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,7900,7272,5.977
79,0.19016361,305.85794,152.16194,100,3000.0,30.0,10.0,8000,7272,5.977
80,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8100,8080,6.56
81,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8200,8080,6.56
82,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8300,8080,6.56
83,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8400,8080,6.56
84,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8500,8080,6.56
85,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8600,8080,6.56
86,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8700,8080,6.56
87,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8800,8080,6.56
88,0.18827248,309.59235,152.57,100,3000.0,30.0,10.0,8900,8080,6.56
89,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9000,8975,7.22
90,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9100,8975,7.22
91,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9200,8975,7.22
92,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9300,8975,7.22
93,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9400,8975,7.22
94,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9500,8975,7.22
95,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9600,8975,7.22
96,0.123558044,305.67578,154.62646,100,3000.0,30.0,10.0,9700,8975,7.22
97,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,9800,9721,7.8
98,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,9900,9721,7.8
99,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10000,9721,7.8
100,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10100,9721,7.8
101,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10200,9721,7.8
102,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10300,9721,7.8
103,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10400,9721,7.8
104,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10500,9721,7.8
105,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10600,9721,7.8
106,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10700,9721,7.8
107,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10800,9721,7.8
108,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,10900,9721,7.8
109,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11000,9721,7.8
110,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11100,9721,7.8
111,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11200,9721,7.8
112,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11300,9721,7.8
113,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11400,9721,7.8
114,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11500,9721,7.8
115,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11600,9721,7.8
116,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11700,9721,7.8
117,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11800,9721,7.8
118,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,11900,9721,7.8
119,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12000,9721,7.8
120,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12100,9721,7.8
121,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12200,9721,7.8
122,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12300,9721,7.8
123,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12400,9721,7.8
124,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12500,9721,7.8
125,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12600,9721,7.8
126,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12700,9721,7.8
127,0.014374733,306.51007,153.33362,100,3000.0,30.0,10.0,12800,9721,7.8
