iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
65,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,6600,5584,1.444
66,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,6700,5584,1.444
67,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,6800,5584,1.444
68,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,6900,5584,1.444
69,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7000,5584,1.444
70,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7100,5584,1.444
71,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7200,5584,1.444
72,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7300,5584,1.444
73,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7400,5584,1.444
74,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7500,5584,1.444
75,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7600,5584,1.444
76,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7700,5584,1.444
77,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7800,5584,1.444
78,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,7900,5584,1.444
79,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,8000,5584,1.444
80,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,8100,5584,1.444
81,1.032979,206.1753,154.16414,100,3000.0,30.0,10.0,8200,5584,1.444
82,0.8587599,313.60294,154.70914,100,3000.0,30.0,10.0,8300,8212,1.9
83,0.2629633,310.9111,153.38472,100,3000.0,30.0,10.0,8400,8312,1.917
84,0.19853306,308.21927,152.0603,100,3000.0,30.0,10.0,8500,8412,1.933
85,0.19853306,308.21927,152.0603,100,3000.0,30.0,10.0,8600,8412,1.933
86,0.19853306,308.21927,152.0603,100,3000.0,30.0,10.0,8700,8412,1.933
87,0.19853306,308.21927,152.0603,100,3000.0,30.0,10.0,8800,8412,1.933
88,0.0878706,305.175,153.97047,100,3000.0,30.0,10.0,8900,8884,2.001
89,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9000,8984,2.018
90,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9100,8984,2.018
91,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9200,8984,2.018
92,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9300,8984,2.018
93,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9400,8984,2.018
94,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9500,8984,2.018
95,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9600,8984,2.018
96,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9700,8984,2.018
97,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9800,8984,2.018
98,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,9900,8984,2.018
99,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10000,8984,2.018
100,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10100,8984,2.018
101,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10200,8984,2.018
102,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10300,8984,2.018
103,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10400,8984,2.018
104,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10500,8984,2.018
105,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10600,8984,2.018
106,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10700,8984,2.018
107,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10800,8984,2.018
108,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,10900,8984,2.018
109,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11000,8984,2.018
110,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11100,8984,2.018
111,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11200,8984,2.018
112,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11300,8984,2.018
113,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11400,8984,2.018
114,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11500,8984,2.018
115,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11600,8984,2.018
116,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11700,8984,2.018
117,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11800,8984,2.018
