iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,2.6908598,1774275437030,415.1609,102.98014,100,3000.0,30.0,10.0,100,10,0.004
1,2.214346,1774275437030,412.30872,102.05,100,3000.0,30.0,10.0,200,110,0.01
2,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,300,210,0.037
3,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,400,210,0.037
4,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,500,210,0.037
5,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,600,210,0.037
6,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,700,210,0.037
7,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,800,210,0.037
8,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,900,210,0.037
9,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1000,210,0.037
10,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1100,210,0.037
11,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1200,210,0.037
12,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1300,210,0.037
13,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1400,210,0.037
14,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1500,210,0.037
15,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1600,210,0.037
16,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1700,210,0.037
17,2.17136,1774275437030,409.45654,101.119865,100,3000.0,30.0,10.0,1800,210,0.037
18,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,1900,1842,0.306
19,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2000,1842,0.306
20,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2100,1842,0.306
21,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2200,1842,0.306
22,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2300,1842,0.306
23,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2400,1842,0.306
24,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2500,1842,0.306
25,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2600,1842,0.306
26,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2700,1842,0.306
27,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2800,1842,0.306
28,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,2900,1842,0.306
29,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3000,1842,0.306
30,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3100,1842,0.306
31,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3200,1842,0.306
32,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3300,1842,0.306
33,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3400,1842,0.306
34,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3500,1842,0.306
35,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3600,1842,0.306
36,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3700,1842,0.306
37,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3800,1842,0.306
38,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,3900,1842,0.306
39,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4000,1842,0.306
40,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4100,1842,0.306
41,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4200,1842,0.306
42,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4300,1842,0.306
43,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4400,1842,0.306
44,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4500,1842,0.306
45,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4600,1842,0.306
46,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4700,1842,0.306
47,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4800,1842,0.306
48,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,4900,1842,0.306
49,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5000,1842,0.306
50,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5100,1842,0.306
51,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5200,1842,0.306
52,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5300,1842,0.306
53,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5400,1842,0.306
54,2.0080729,1774275437030,206.2283,204.36232,100,3000.0,30.0,10.0,5500,1842,0.306
55,1.5173616,1774275437030,304.56134,100.38067,100,3000.0,30.0,10.0,5600,5506,0.946
56,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,5700,5606,0.966
57,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,5800,5606,0.966
58,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,5900,5606,0.966
59,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6000,5606,0.966
60,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6100,5606,0.966
61,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6200,5606,0.966
62,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6300,5606,0.966
63,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6400,5606,0.966
64,1.3682194,1774275437030,302.75052,102.77252,100,3000.0,30.0,10.0,6500,5606,0.966
