iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
64,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6500,5542,1.398
65,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6600,5542,1.398
66,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6700,5542,1.398
67,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6800,5542,1.398
68,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6900,5542,1.398
69,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7000,5542,1.398
70,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7100,5542,1.398
71,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7200,5542,1.398
72,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7300,5542,1.398
73,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7400,5542,1.398
74,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7500,5542,1.398
75,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7600,5542,1.398
76,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7700,5542,1.398
77,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7800,5542,1.398
78,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,7900,5542,1.398
79,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8000,5542,1.398
80,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8100,5542,1.398
81,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8200,5542,1.398
82,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8300,5542,1.398
83,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8400,5542,1.398
84,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8500,5542,1.398
85,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8600,5542,1.398
86,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8700,5542,1.398
87,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8800,5542,1.398
88,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,8900,5542,1.398
89,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9000,5542,1.398
90,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9100,5542,1.398
91,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9200,5542,1.398
92,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9300,5542,1.398
93,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9400,5542,1.398
94,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,9500,5542,1.398
95,0.44869328,303.4248,152.05446,100,3000.0,30.0,10.0,9600,9517,2.071
96,0.44869328,303.4248,152.05446,100,3000.0,30.0,10.0,9700,9517,2.071
97,0.44869328,303.4248,152.05446,100,3000.0,30.0,10.0,9800,9517,2.071
98,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,9900,9804,2.12
99,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10000,9804,2.12
100,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10100,9804,2.12
101,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10200,9804,2.12
102,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10300,9804,2.12
103,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10400,9804,2.12
104,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10500,9804,2.12
105,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10600,9804,2.12
106,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10700,9804,2.12
107,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10800,9804,2.12
108,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,10900,9804,2.12
109,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11000,9804,2.12
110,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11100,9804,2.12
111,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11200,9804,2.12
112,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11300,9804,2.12
113,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11400,9804,2.12
114,0.28404903,311.0654,153.41211,100,3000.0,30.0,10.0,11500,9804,2.12
