iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,2.824007,1774275416809,297.2532,149.91724,100,3000.0,30.0,10.0,100,47,0.012
1,2.824007,1774275416809,297.2532,149.91724,100,3000.0,30.0,10.0,200,47,0.012
2,2.824007,1774275416809,297.2532,149.91724,100,3000.0,30.0,10.0,300,47,0.012
3,2.440793,1774275416809,315.3172,149.54411,100,3000.0,30.0,10.0,400,375,0.092
4,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,500,475,0.123
5,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,600,475,0.123
6,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,700,475,0.123
7,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,800,475,0.123
8,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,900,475,0.123
9,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,1000,475,0.123
10,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,1100,475,0.123
11,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,1200,475,0.123
12,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,1300,475,0.123
13,2.3107033,1774275416809,312.4514,148.65697,100,3000.0,30.0,10.0,1400,475,0.123
14,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,1500,1448,0.343
15,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,1600,1448,0.343
16,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,1700,1448,0.343
17,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,1800,1448,0.343
18,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,1900,1448,0.343
19,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2000,1448,0.343
20,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2100,1448,0.343
21,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2200,1448,0.343
22,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2300,1448,0.343
23,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2400,1448,0.343
24,2.2870626,1774275416809,314.7381,202.77026,100,3000.0,30.0,10.0,2500,1448,0.343
25,1.775075,1774275416809,304.39215,99.7594,100,3000.0,30.0,10.0,2600,2594,0.628
26,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,2700,2694,0.652
27,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,2800,2694,0.652
28,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,2900,2694,0.652
29,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3000,2694,0.652
30,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3100,2694,0.652
31,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3200,2694,0.652
32,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3300,2694,0.652
33,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3400,2694,0.652
34,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3500,2694,0.652
35,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3600,2694,0.652
36,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3700,2694,0.652
37,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3800,2694,0.652
38,1.5670528,1774275416809,302.06284,101.64997,100,3000.0,30.0,10.0,3900,2694,0.652
39,1.5084352,1774275416809,303.5143,206.38882,100,3000.0,30.0,10.0,4000,3992,0.946
40,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4100,4092,0.97
41,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4200,4092,0.97
42,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4300,4092,0.97
43,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4400,4092,0.97
44,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4500,4092,0.97
45,1.3839817,1774275416809,303.27243,203.39859,100,3000.0,30.0,10.0,4600,4092,0.97
46,1.2936125,1774275416809,205.82306,151.6249,100,3000.0,30.0,10.0,4700,4695,1.113
47,1.1183081,1774275416809,207.81937,153.86426,100,3000.0,30.0,10.0,4800,4795,1.138
48,0.80116844,1774275416809,306.12537,156.82999,100,3000.0,30.0,10.0,4900,4825,1.162
49,0.1582241,1774275416809,308.43048,154.90997,100,3000.0,30.0,10.0,5000,4925,1.184
50,0.1582241,1774275416809,308.43048,154.90997,100,3000.0,30.0,10.0,5100,4925,1.184
51,0.1582241,1774275416809,308.43048,154.90997,100,3000.0,30.0,10.0,5200,4925,1.184
52,0.1582241,1774275416809,308.43048,154.90997,100,3000.0,30.0,10.0,5300,4925,1.184
53,0.1582241,1774275416809,308.43048,154.90997,100,3000.0,30.0,10.0,5400,4925,1.184
