iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340259227,7.030302,28.61397,305.71765,163.87311,100,0.0497931,1.9925495,5,200,156,0.103
1,1775340259227,2.6431627,19.367868,399.96075,152.3194,100,0.0497931,1.9925495,5,300,253,0.125
2,1775340259227,0.5404854,16.770794,306.1104,156.2276,100,0.0497931,1.9925495,5,400,301,0.188
3,1775340259227,0.5404854,14.067399,306.1104,156.2276,100,0.0497931,1.9925495,5,500,301,0.188
4,1775340259227,0.5404854,11.140368,306.1104,156.2276,100,0.0497931,1.9925495,5,600,301,0.188
5,1775340259227,0.076291084,6.249703,305.2834,153.29869,100,0.0497931,1.9925495,5,700,609,0.374
6,1775340259227,0.007782936,1.4758524,306.56497,153.55489,100,0.0497931,1.9925495,5,800,729,0.428
7,1775340259227,6.017685E-4,0.2699949,307.36057,153.56148,100,0.0497931,1.9925495,5,900,849,0.497
8,1775340259227,1.4781952E-4,0.06140278,307.24524,153.56213,100,0.0497931,1.9925495,5,1000,988,0.559
9,1775340259227,1.4781952E-4,0.015426617,307.24524,153.56213,100,0.0497931,1.9925495,5,1100,988,0.559
10,1775340259227,7.247925E-5,0.012259903,307.20923,153.63068,100,0.0497931,1.9925495,5,1201,1151,0.688
11,1775340259227,1.5258789E-5,0.004138336,307.19516,153.61377,100,0.0497931,1.9925495,5,1301,1301,0.747
12,1775340259227,9.536743E-7,0.00798027,307.20206,153.6031,100,0.0497931,1.9925495,5,1401,1382,0.805
13,1775340259227,0.0,0.00602478,307.19995,153.59915,100,0.0497931,1.9925495,5,1501,1445,0.869
14,1775340259227,0.0,0.0067598536,307.19995,153.59915,100,0.0497931,1.9925495,5,1601,1445,0.869
15,1775340259227,0.0,0.006462679,307.19995,153.59915,100,0.0497931,1.9925495,5,1701,1445,0.869
16,1775340259227,0.0,0.0033807564,307.19995,153.59915,100,0.0497931,1.9925495,5,1801,1445,0.869
17,1775340259227,0.0,0.0080445865,307.19995,153.59915,100,0.0497931,1.9925495,5,1901,1445,0.869
18,1775340259227,0.0,0.0068420027,307.19995,153.59915,100,0.0497931,1.9925495,5,2001,1445,0.869
19,1775340259227,0.0,0.0027252673,307.19995,153.59915,100,0.0497931,1.9925495,5,2101,1445,0.869
20,1775340259227,0.0,0.004306784,307.19995,153.59915,100,0.0497931,1.9925495,5,2201,1445,0.869
21,1775340259227,0.0,0.004924879,307.19995,153.59915,100,0.0497931,1.9925495,5,2301,1445,0.869
