iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340227864,3.6361265,28.303518,307.83746,210.55386,100,0.0497931,1.9925495,5,200,87,10.375
1,1775340227864,1.7383432,17.829107,412.568,150.9823,100,0.0497931,1.9925495,5,300,206,0.122
2,1775340227864,0.23396683,15.281382,305.26846,155.07164,100,0.0497931,1.9925495,5,400,381,0.182
3,1775340227864,0.23396683,11.261636,305.26846,155.07164,100,0.0497931,1.9925495,5,500,381,0.182
4,1775340227864,0.23396683,11.8616295,305.26846,155.07164,100,0.0497931,1.9925495,5,600,381,0.182
5,1775340227864,0.23396683,6.4280467,305.26846,155.07164,100,0.0497931,1.9925495,5,700,381,0.182
6,1775340227864,0.016532898,5.218238,308.12515,153.53273,100,0.0497931,1.9925495,5,800,757,0.432
7,1775340227864,0.011244774,3.1202338,307.57407,153.93709,100,0.0497931,1.9925495,5,900,801,0.492
8,1775340227864,5.378723E-4,1.0993717,307.16602,153.68262,100,0.0497931,1.9925495,5,1000,951,0.563
9,1775340227864,5.378723E-4,0.06285541,307.16602,153.68262,100,0.0497931,1.9925495,5,1100,951,0.563
10,1775340227864,2.1743774E-4,0.012543583,307.24902,153.64758,100,0.0497931,1.9925495,5,1200,1109,0.682
11,1775340227864,4.673004E-5,0.0066176127,307.1957,153.57553,100,0.0497931,1.9925495,5,1300,1273,0.742
12,1775340227864,5.722046E-6,0.0028032206,307.18448,153.59566,100,0.0497931,1.9925495,5,1400,1368,0.806
13,1775340227864,5.722046E-6,0.007316761,307.18448,153.59566,100,0.0497931,1.9925495,5,1500,1368,0.806
14,1775340227864,9.536743E-7,0.007342453,307.2004,153.60304,100,0.0497931,1.9925495,5,1600,1597,0.933
15,1775340227864,9.536743E-7,0.008475637,307.2004,153.60304,100,0.0497931,1.9925495,5,1700,1597,0.933
16,1775340227864,0.0,0.0147547815,307.19843,153.59947,100,0.0497931,1.9925495,5,1800,1701,1.058
17,1775340227864,0.0,8.234882E-4,307.19843,153.59947,100,0.0497931,1.9925495,5,1900,1701,1.058
18,1775340227864,0.0,0.003513708,307.19843,153.59947,100,0.0497931,1.9925495,5,2000,1701,1.058
19,1775340227864,0.0,0.008494015,307.19843,153.59947,100,0.0497931,1.9925495,5,2100,1701,1.058
20,1775340227864,0.0,0.0092273615,307.19843,153.59947,100,0.0497931,1.9925495,5,2200,1701,1.058
21,1775340227864,0.0,0.0055961036,307.19843,153.59947,100,0.0497931,1.9925495,5,2300,1701,1.058
22,1775340227864,0.0,0.00811019,307.19843,153.59947,100,0.0497931,1.9925495,5,2400,1701,1.058
23,1775340227864,0.0,0.00857048,307.19843,153.59947,100,0.0497931,1.9925495,5,2500,1701,1.058
24,1775340227864,0.0,0.004891949,307.19843,153.59947,100,0.0497931,1.9925495,5,2600,1701,1.058
25,1775340227864,0.0,0.0047097206,307.19843,153.59947,100,0.0497931,1.9925495,5,2700,1701,1.058
26,1775340227864,0.0,0.0058721732,307.19843,153.59947,100,0.0497931,1.9925495,5,2800,1701,1.058
27,1775340227864,0.0,9.883117E-4,307.19843,153.59947,100,0.0497931,1.9925495,5,2900,1701,1.058
28,1775340227864,0.0,0.0019397927,307.19843,153.59947,100,0.0497931,1.9925495,5,3000,1701,1.058
29,1775340227864,0.0,0.0050757215,307.19843,153.59947,100,0.0497931,1.9925495,5,3100,1701,1.058
30,1775340227864,0.0,0.0076554967,307.19843,153.59947,100,0.0497931,1.9925495,5,3200,1701,1.058
31,1775340227864,0.0,0.0064225104,307.19843,153.59947,100,0.0497931,1.9925495,5,3300,1701,1.058
32,1775340227864,0.0,0.019270334,307.19843,153.59947,100,0.0497931,1.9925495,5,3400,1701,1.058
33,1775340227864,0.0,0.0057215597,307.19843,153.59947,100,0.0497931,1.9925495,5,3500,1701,1.058
34,1775340227864,0.0,0.0040794467,307.19843,153.59947,100,0.0497931,1.9925495,5,3600,1701,1.058
35,1775340227864,0.0,0.0013405895,307.19843,153.59947,100,0.0497931,1.9925495,5,3700,1701,1.058
36,1775340227864,0.0,0.0016537666,307.19843,153.59947,100,0.0497931,1.9925495,5,3800,1701,1.058
37,1775340227864,0.0,0.014421281,307.19843,153.59947,100,0.0497931,1.9925495,5,3900,1701,1.058
38,1775340227864,0.0,0.005826101,307.19843,153.59947,100,0.0497931,1.9925495,5,4000,1701,1.058
39,1775340227864,0.0,0.018367395,307.19843,153.59947,100,0.0497931,1.9925495,5,4100,1701,1.058
40,1775340227864,0.0,0.0077823065,307.19843,153.59947,100,0.0497931,1.9925495,5,4200,1701,1.058
41,1775340227864,0.0,0.0054110815,307.19843,153.59947,100,0.0497931,1.9925495,5,4300,1701,1.058
42,1775340227864,0.0,0.0029854965,307.19843,153.59947,100,0.0497931,1.9925495,5,4400,1701,1.058
43,1775340227864,0.0,0.004200926,307.19843,153.59947,100,0.0497931,1.9925495,5,4500,1701,1.058
44,1775340227864,0.0,0.00931674,307.19843,153.59947,100,0.0497931,1.9925495,5,4600,1701,1.058
45,1775340227864,0.0,0.00654089,307.19843,153.59947,100,0.0497931,1.9925495,5,4700,1701,1.058
46,1775340227864,0.0,0.008078108,307.19843,153.59947,100,0.0497931,1.9925495,5,4800,1701,1.058
