iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340332060,1.049859,28.691944,307.7539,103.46451,100,0.0497931,1.9925495,5,200,196,0.073
1,1775340332060,1.049859,18.487253,307.7539,103.46451,100,0.0497931,1.9925495,5,300,196,0.073
2,1775340332060,1.049859,14.999909,307.7539,103.46451,100,0.0497931,1.9925495,5,400,196,0.073
3,1775340332060,1.049859,11.434281,307.7539,103.46451,100,0.0497931,1.9925495,5,500,196,0.073
4,1775340332060,1.049859,9.432547,307.7539,103.46451,100,0.0497931,1.9925495,5,600,196,0.073
5,1775340332060,1.019968,3.5289571,306.88184,102.10567,100,0.0497931,1.9925495,5,700,630,0.345
6,1775340332060,0.9966593,1.3099027,307.12668,102.80349,100,0.0497931,1.9925495,5,800,744,0.404
7,1775340332060,0.99570084,1.0905092,307.0482,102.72171,100,0.0497931,1.9925495,5,900,805,0.466
8,1775340332060,0.9954767,1.0287849,307.13406,102.73398,100,0.0497931,1.9925495,5,1000,904,0.527
9,1775340332060,0.9950428,1.0018456,307.14017,102.672646,100,0.0497931,1.9925495,5,1100,1010,0.605
10,1775340332060,0.99498653,0.99697566,307.16202,102.658516,100,0.0497931,1.9925495,5,1200,1175,0.667
11,1775340332060,0.9949608,1.0063797,307.19046,102.65782,100,0.0497931,1.9925495,5,1300,1275,0.723
12,1775340332060,0.9949589,1.0001329,307.20328,102.65697,100,0.0497931,1.9925495,5,1400,1325,0.79
13,1775340332060,0.9949589,0.99808484,307.20328,102.65697,100,0.0497931,1.9925495,5,1500,1325,0.79
14,1775340332060,0.9949589,1.0025685,307.20328,102.65697,100,0.0497931,1.9925495,5,1600,1325,0.79
15,1775340332060,0.9949589,0.9993659,307.20328,102.65697,100,0.0497931,1.9925495,5,1700,1325,0.79
16,1775340332060,0.9949589,0.9996971,307.20328,102.65697,100,0.0497931,1.9925495,5,1800,1325,0.79
17,1775340332060,0.9949579,0.9985137,307.20328,102.6572,100,0.0497931,1.9925495,5,1900,1898,1.1
18,1775340332060,0.9949579,0.9979435,307.20328,102.6572,100,0.0497931,1.9925495,5,2000,1898,1.1
19,1775340332060,0.9949579,1.0029745,307.20328,102.6572,100,0.0497931,1.9925495,5,2100,1898,1.1
20,1775340332060,0.9949579,0.9986303,307.20328,102.6572,100,0.0497931,1.9925495,5,2200,1898,1.1
21,1775340332060,0.9949579,1.0028349,307.20328,102.6572,100,0.0497931,1.9925495,5,2300,1898,1.1
22,1775340332060,0.9949579,1.002724,307.20328,102.6572,100,0.0497931,1.9925495,5,2400,1898,1.1
23,1775340332060,0.9949579,0.9972872,307.20328,102.6572,100,0.0497931,1.9925495,5,2500,1898,1.1
24,1775340332060,0.9949579,1.0021899,307.20328,102.6572,100,0.0497931,1.9925495,5,2600,1898,1.1
25,1775340332060,0.9949579,1.0051388,307.20328,102.6572,100,0.0497931,1.9925495,5,2700,1898,1.1
26,1775340332060,0.9949579,1.0070313,307.20328,102.6572,100,0.0497931,1.9925495,5,2800,1898,1.1
27,1775340332060,0.9949579,1.0077441,307.20328,102.6572,100,0.0497931,1.9925495,5,2900,1898,1.1
28,1775340332060,0.9949579,0.9994412,307.20328,102.6572,100,0.0497931,1.9925495,5,3000,1898,1.1
29,1775340332060,0.9949579,1.0015105,307.20328,102.6572,100,0.0497931,1.9925495,5,3100,1898,1.1
30,1775340332060,0.9949579,1.0011168,307.20328,102.6572,100,0.0497931,1.9925495,5,3200,1898,1.1
31,1775340332060,0.9949579,1.0067778,307.20328,102.6572,100,0.0497931,1.9925495,5,3300,1898,1.1
32,1775340332060,0.9949579,0.997522,307.20328,102.6572,100,0.0497931,1.9925495,5,3400,1898,1.1
33,1775340332060,0.9949579,1.0005997,307.20328,102.6572,100,0.0497931,1.9925495,5,3500,1898,1.1
34,1775340332060,0.9949579,0.99712944,307.20328,102.6572,100,0.0497931,1.9925495,5,3600,1898,1.1
35,1775340332060,0.9949579,1.0008333,307.20328,102.6572,100,0.0497931,1.9925495,5,3700,1898,1.1
36,1775340332060,0.9949579,1.0022912,307.20328,102.6572,100,0.0497931,1.9925495,5,3800,1898,1.1
37,1775340332060,0.9949579,1.0095943,307.20328,102.6572,100,0.0497931,1.9925495,5,3900,1898,1.1
38,1775340332060,0.9949579,0.99769217,307.20328,102.6572,100,0.0497931,1.9925495,5,4000,1898,1.1
