iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340165428,3.934247,27.494713,292.38013,154.4606,100,0.0497931,5.7377114,5,200,132,0.091
1,1775340165428,2.7098475,17.868134,406.68777,99.8051,100,0.0497931,5.709023,5,300,239,0.111
2,1775340165428,1.1246634,13.6827135,304.57922,204.5219,100,0.0497931,5.680478,5,400,313,0.181
3,1775340165428,0.23274517,10.642928,309.09186,152.12096,100,0.0497931,5.652076,5,500,406,0.24
4,1775340165428,0.23274517,9.490251,309.09186,152.12096,100,0.0497931,5.6238155,5,600,406,0.24
5,1775340165428,0.102044106,9.002015,306.12775,154.63074,100,0.0497931,5.5956964,5,700,618,0.372
6,1775340165428,0.034129143,7.4610457,306.22302,153.13904,100,0.0497931,5.567718,5,800,771,0.436
7,1775340165428,0.014708519,4.6276455,306.4779,153.853,100,0.0497931,5.5398793,5,900,841,0.492
8,1775340165428,0.0052165985,0.7293636,307.70197,153.67717,100,0.0497931,5.51218,5,1000,905,0.562
9,1775340165428,4.5871735E-4,0.08761272,307.08035,153.55005,100,0.0497931,5.484619,5,1100,1029,0.615
10,1775340165428,4.4822693E-5,0.050619632,307.18082,153.62228,100,0.0497931,5.457196,5,1200,1116,0.681
11,1775340165428,9.536743E-7,0.060793865,307.1997,153.60236,100,0.0497931,5.42991,5,1300,1296,0.742
12,1775340165428,9.536743E-7,0.030793343,307.1997,153.60236,100,0.0497931,5.4027605,5,1400,1296,0.742
13,1775340165428,0.0,0.0018919372,307.2008,153.5996,100,0.0497931,5.3757467,5,1500,1418,0.862
14,1775340165428,0.0,0.05959446,307.2008,153.5996,100,0.0497931,5.348868,5,1600,1418,0.862
15,1775340165428,0.0,0.066889934,307.2008,153.5996,100,0.0497931,5.3221235,5,1700,1418,0.862
16,1775340165428,0.0,0.031606082,307.2008,153.5996,100,0.0497931,5.295513,5,1800,1418,0.862
17,1775340165428,0.0,0.030114269,307.2008,153.5996,100,0.0497931,5.269036,5,1900,1418,0.862
18,1775340165428,0.0,0.0053154565,307.2008,153.5996,100,0.0497931,5.2426906,5,2000,1418,0.862
19,1775340165428,0.0,0.025626574,307.2008,153.5996,100,0.0497931,5.216477,5,2100,1418,0.862
20,1775340165428,0.0,0.01869481,307.2008,153.5996,100,0.0497931,5.1903944,5,2200,1418,0.862
21,1775340165428,0.0,0.02762642,307.2008,153.5996,100,0.0497931,5.1644425,5,2300,1418,0.862
22,1775340165428,0.0,0.01644745,307.2008,153.5996,100,0.0497931,5.1386204,5,2400,1418,0.862
23,1775340165428,0.0,0.05665476,307.2008,153.5996,100,0.0497931,5.1129274,5,2500,1418,0.862
24,1775340165428,0.0,0.016423073,307.2008,153.5996,100,0.0497931,5.087363,5,2600,1418,0.862
25,1775340165428,0.0,0.06453915,307.2008,153.5996,100,0.0497931,5.061926,5,2700,1418,0.862
26,1775340165428,0.0,0.016536932,307.2008,153.5996,100,0.0497931,5.0366163,5,2800,1418,0.862
27,1775340165428,0.0,0.016980562,307.2008,153.5996,100,0.0497931,5.011433,5,2900,1418,0.862
28,1775340165428,0.0,0.069895305,307.2008,153.5996,100,0.0497931,4.986376,5,3000,1418,0.862
29,1775340165428,0.0,0.007650442,307.2008,153.5996,100,0.0497931,4.961444,5,3100,1418,0.862
30,1775340165428,0.0,0.069951065,307.2008,153.5996,100,0.0497931,4.936637,5,3200,1418,0.862
31,1775340165428,0.0,0.02219038,307.2008,153.5996,100,0.0497931,4.911954,5,3300,1418,0.862
32,1775340165428,0.0,0.046879236,307.2008,153.5996,100,0.0497931,4.887394,5,3400,1418,0.862
33,1775340165428,0.0,0.050117273,307.2008,153.5996,100,0.0497931,4.862957,5,3500,1418,0.862
34,1775340165428,0.0,0.03504668,307.2008,153.5996,100,0.0497931,4.838642,5,3600,1418,0.862
35,1775340165428,0.0,0.034954928,307.2008,153.5996,100,0.0497931,4.814449,5,3700,1418,0.862
36,1775340165428,0.0,0.03573659,307.2008,153.5996,100,0.0497931,4.7903767,5,3800,1418,0.862
37,1775340165428,0.0,0.079550155,307.2008,153.5996,100,0.0497931,4.7664247,5,3900,1418,0.862
38,1775340165428,0.0,0.022322664,307.2008,153.5996,100,0.0497931,4.7425923,5,4000,1418,0.862
39,1775340165428,0.0,0.020896092,307.2008,153.5996,100,0.0497931,4.718879,5,4100,1418,0.862
40,1775340165428,0.0,0.03373063,307.2008,153.5996,100,0.0497931,4.695285,5,4200,1418,0.862
41,1775340165428,0.0,0.034955617,307.2008,153.5996,100,0.0497931,4.6718082,5,4300,1418,0.862
42,1775340165428,0.0,0.029144745,307.2008,153.5996,100,0.0497931,4.6484494,5,4400,1418,0.862
43,1775340165428,0.0,0.028415356,307.2008,153.5996,100,0.0497931,4.6252074,5,4500,1418,0.862
44,1775340165428,0.0,0.054999914,307.2008,153.5996,100,0.0497931,4.6020813,5,4600,1418,0.862
45,1775340165428,0.0,0.024075985,307.2008,153.5996,100,0.0497931,4.579071,5,4700,1418,0.862
46,1775340165428,0.0,0.018843422,307.2008,153.5996,100,0.0497931,4.5561757,5,4800,1418,0.862
47,1775340165428,0.0,0.046350706,307.2008,153.5996,100,0.0497931,4.533395,5,4900,1418,0.862
48,1775340165428,0.0,0.030834103,307.2008,153.5996,100,0.0497931,4.510728,5,5000,1418,0.862
49,1775340165428,0.0,0.032074995,307.2008,153.5996,100,0.0497931,4.4881744,5,5100,1418,0.862
50,1775340165428,0.0,0.03926946,307.2008,153.5996,100,0.0497931,4.4657335,5,5200,1418,0.862
51,1775340165428,0.0,0.048449393,307.2008,153.5996,100,0.0497931,4.4434047,5,5300,1418,0.862
52,1775340165428,0.0,0.04399288,307.2008,153.5996,100,0.0497931,4.421188,5,5400,1418,0.862
53,1775340165428,0.0,0.019313678,307.2008,153.5996,100,0.0497931,4.399082,5,5500,1418,0.862
54,1775340165428,0.0,0.027238045,307.2008,153.5996,100,0.0497931,4.3770866,5,5600,1418,0.862
55,1775340165428,0.0,0.030683069,307.2008,153.5996,100,0.0497931,4.3552012,5,5700,1418,0.862
56,1775340165428,0.0,0.057662345,307.2008,153.5996,100,0.0497931,4.333425,5,5800,1418,0.862
57,1775340165428,0.0,0.018329287,307.2008,153.5996,100,0.0497931,4.311758,5,5900,1418,0.862
58,1775340165428,0.0,0.021462508,307.2008,153.5996,100,0.0497931,4.2901993,5,6000,1418,0.862
59,1775340165428,0.0,0.018075142,307.2008,153.5996,100,0.0497931,4.2687483,5,6100,1418,0.862
60,1775340165428,0.0,0.027736569,307.2008,153.5996,100,0.0497931,4.2474046,5,6200,1418,0.862
61,1775340165428,0.0,0.04081482,307.2008,153.5996,100,0.0497931,4.2261677,5,6300,1418,0.862
62,1775340165428,0.0,0.016911231,307.2008,153.5996,100,0.0497931,4.2050366,5,6400,1418,0.862
63,1775340165428,0.0,0.04963541,307.2008,153.5996,100,0.0497931,4.1840115,5,6500,1418,0.862
64,1775340165428,0.0,0.020222692,307.2008,153.5996,100,0.0497931,4.1630917,5,6600,1418,0.862
65,1775340165428,0.0,0.053824663,307.2008,153.5996,100,0.0497931,4.1422763,5,6700,1418,0.862
66,1775340165428,0.0,0.050237894,307.2008,153.5996,100,0.0497931,4.121565,5,6800,1418,0.862
67,1775340165428,0.0,0.018651,307.2008,153.5996,100,0.0497931,4.100957,5,6900,1418,0.862
