iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340395884,1.6631918,25.379162,302.3183,202.82877,100,0.0497931,1.9925495,5,200,138,0.053
1,1775340395884,1.6631918,20.065895,302.3183,202.82877,100,0.0497931,1.9925495,5,300,138,0.053
2,1775340395884,1.47299,15.116742,202.2251,151.61238,100,0.0497931,1.9925495,5,400,391,0.117
3,1775340395884,1.277854,9.866595,203.56996,155.3283,100,0.0497931,1.9925495,5,500,436,0.166
4,1775340395884,1.277854,5.306534,203.56996,155.3283,100,0.0497931,1.9925495,5,600,436,0.166
5,1775340395884,1.084405,3.3628519,207.13583,153.0029,100,0.0497931,1.9925495,5,700,614,0.271
6,1775340395884,1.0233173,3.958039,206.5403,153.5718,100,0.0497931,1.9925495,5,800,729,0.321
7,1775340395884,0.9978571,6.0385857,205.06586,153.44955,100,0.0497931,1.9925495,5,900,880,0.37
8,1775340395884,0.77592087,3.254802,309.10593,150.52484,100,0.0497931,1.9925495,5,1000,941,0.427
9,1775340395884,0.77592087,2.1630025,309.10593,150.52484,100,0.0497931,1.9925495,5,1100,941,0.427
10,1775340395884,0.77592087,1.0074487,309.10593,150.52484,100,0.0497931,1.9925495,5,1200,941,0.427
11,1775340395884,0.77592087,0.9987395,309.10593,150.52484,100,0.0497931,1.9925495,5,1300,941,0.427
12,1775340395884,0.77592087,1.0063474,309.10593,150.52484,100,0.0497931,1.9925495,5,1400,941,0.427
13,1775340395884,0.77592087,1.00878,309.10593,150.52484,100,0.0497931,1.9925495,5,1500,941,0.427
14,1775340395884,0.77592087,0.9975684,309.10593,150.52484,100,0.0497931,1.9925495,5,1600,941,0.427
15,1775340395884,0.77592087,1.0040859,309.10593,150.52484,100,0.0497931,1.9925495,5,1700,941,0.427
16,1775340395884,0.77592087,1.0027022,309.10593,150.52484,100,0.0497931,1.9925495,5,1800,941,0.427
17,1775340395884,0.77592087,1.0044097,309.10593,150.52484,100,0.0497931,1.9925495,5,1900,941,0.427
18,1775340395884,0.77592087,1.0017068,309.10593,150.52484,100,0.0497931,1.9925495,5,2000,941,0.427
