iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
69,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7000,6425,1.073
70,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7100,6425,1.073
71,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7200,6425,1.073
72,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7300,6425,1.073
73,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7400,6425,1.073
74,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7500,6425,1.073
75,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7600,6425,1.073
76,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7700,6425,1.073
77,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7800,6425,1.073
78,0.19107628,309.31076,154.78952,100,0.1,55.0,3,7900,6425,1.073
79,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8000,6425,1.073
80,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8100,6425,1.073
81,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8200,6425,1.073
82,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8300,6425,1.073
83,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8400,6425,1.073
84,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8500,6425,1.073
85,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8600,6425,1.073
86,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8700,6425,1.073
87,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8800,6425,1.073
88,0.19107628,309.31076,154.78952,100,0.1,55.0,3,8900,6425,1.073
89,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9000,6425,1.073
90,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9100,6425,1.073
91,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9200,6425,1.073
92,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9300,6425,1.073
93,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9400,6425,1.073
94,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9500,6425,1.073
95,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9600,6425,1.073
96,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9700,6425,1.073
97,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9800,6425,1.073
98,0.19107628,309.31076,154.78952,100,0.1,55.0,3,9900,6425,1.073
99,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10000,6425,1.073
100,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10100,6425,1.073
101,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10200,6425,1.073
102,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10300,6425,1.073
103,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10400,6425,1.073
104,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10500,6425,1.073
105,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10600,6425,1.073
106,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10700,6425,1.073
107,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10800,6425,1.073
108,0.19107628,309.31076,154.78952,100,0.1,55.0,3,10900,6425,1.073
109,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11000,6425,1.073
110,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11100,6425,1.073
111,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11200,6425,1.073
112,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11300,6425,1.073
113,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11400,6425,1.073
114,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11500,6425,1.073
115,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11600,6425,1.073
116,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11700,6425,1.073
117,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11800,6425,1.073
118,0.19107628,309.31076,154.78952,100,0.1,55.0,3,11900,6425,1.073
119,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12000,6425,1.073
120,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12100,6425,1.073
121,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12200,6425,1.073
