iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340370589,1.5767517,26.508188,311.26907,202.64552,100,0.0497931,1.9925495,5,200,160,0.052
1,1775340370589,1.5767517,17.089727,311.26907,202.64552,100,0.0497931,1.9925495,5,300,160,0.052
2,1775340370589,1.2899733,11.781175,310.78314,203.70345,100,0.0497931,1.9925495,5,400,316,0.114
3,1775340370589,0.997242,6.6010804,307.20267,204.36813,100,0.0497931,1.9925495,5,500,419,0.165
4,1775340370589,0.997242,2.462124,307.20267,204.36813,100,0.0497931,1.9925495,5,600,419,0.165
5,1775340370589,0.99716663,1.2877103,307.0571,204.3867,100,0.0497931,1.9925495,5,700,654,0.272
6,1775340370589,0.9967108,1.0652571,307.50375,204.53256,100,0.0497931,1.9925495,5,800,728,0.322
7,1775340370589,0.9949713,1.004557,307.1882,204.55324,100,0.0497931,1.9925495,5,900,877,0.367
8,1775340370589,0.9949713,1.0105375,307.1882,204.55324,100,0.0497931,1.9925495,5,1000,877,0.367
9,1775340370589,0.99496365,1.0094316,307.19485,204.54912,100,0.0497931,1.9925495,5,1100,1004,0.47
10,1775340370589,0.99495983,1.0011925,307.19485,204.5407,100,0.0497931,1.9925495,5,1200,1131,0.521
11,1775340370589,0.99495983,1.0019753,307.19485,204.5407,100,0.0497931,1.9925495,5,1300,1131,0.521
12,1775340370589,0.9949589,1.0045369,307.2013,204.54227,100,0.0497931,1.9925495,5,1400,1321,0.617
13,1775340370589,0.9949589,1.0034943,307.2013,204.54227,100,0.0497931,1.9925495,5,1500,1321,0.617
14,1775340370589,0.9949579,1.000442,307.19852,204.54132,100,0.0497931,1.9925495,5,1600,1535,0.72
15,1775340370589,0.9949579,1.0054,307.19852,204.54132,100,0.0497931,1.9925495,5,1700,1535,0.72
16,1775340370589,0.9949579,1.0075506,307.19852,204.54132,100,0.0497931,1.9925495,5,1800,1535,0.72
17,1775340370589,0.9949579,0.99712825,307.19852,204.54132,100,0.0497931,1.9925495,5,1900,1535,0.72
18,1775340370589,0.9949579,1.0032256,307.19852,204.54132,100,0.0497931,1.9925495,5,2000,1535,0.72
19,1775340370589,0.9949579,0.99737245,307.19852,204.54132,100,0.0497931,1.9925495,5,2100,1535,0.72
20,1775340370589,0.9949579,0.99746054,307.19852,204.54132,100,0.0497931,1.9925495,5,2200,1535,0.72
21,1775340370589,0.9949579,1.0026104,307.19852,204.54132,100,0.0497931,1.9925495,5,2300,1535,0.72
22,1775340370589,0.9949579,0.9980502,307.19852,204.54132,100,0.0497931,1.9925495,5,2400,1535,0.72
23,1775340370589,0.9949579,1.0008821,307.19852,204.54132,100,0.0497931,1.9925495,5,2500,1535,0.72
24,1775340370589,0.9949579,1.0077977,307.19852,204.54132,100,0.0497931,1.9925495,5,2600,1535,0.72
25,1775340370589,0.9949579,1.0110804,307.19852,204.54132,100,0.0497931,1.9925495,5,2700,1535,0.72
26,1775340370589,0.9949579,0.99968666,307.19852,204.54132,100,0.0497931,1.9925495,5,2800,1535,0.72
27,1775340370589,0.9949579,1.0014119,307.19852,204.54132,100,0.0497931,1.9925495,5,2900,1535,0.72
28,1775340370589,0.9949579,1.0035447,307.19852,204.54132,100,0.0497931,1.9925495,5,3000,1535,0.72
29,1775340370589,0.9949579,1.0035558,307.19852,204.54132,100,0.0497931,1.9925495,5,3100,1535,0.72
30,1775340370589,0.9949579,1.0126843,307.19852,204.54132,100,0.0497931,1.9925495,5,3200,1535,0.72
31,1775340370589,0.9949579,1.0020524,307.19852,204.54132,100,0.0497931,1.9925495,5,3300,1535,0.72
32,1775340370589,0.9949579,0.9986019,307.19852,204.54132,100,0.0497931,1.9925495,5,3400,1535,0.72
33,1775340370589,0.9949579,0.99837846,307.19852,204.54132,100,0.0497931,1.9925495,5,3500,1535,0.72
34,1775340370589,0.9949579,0.9994011,307.19852,204.54132,100,0.0497931,1.9925495,5,3600,1535,0.72
35,1775340370589,0.9949579,1.0006617,307.19852,204.54132,100,0.0497931,1.9925495,5,3700,1535,0.72
36,1775340370589,0.9949579,0.99651384,307.19852,204.54132,100,0.0497931,1.9925495,5,3800,1535,0.72
37,1775340370589,0.9949579,1.0019382,307.19852,204.54132,100,0.0497931,1.9925495,5,3900,1535,0.72
38,1775340370589,0.9949579,0.9982924,307.19852,204.54132,100,0.0497931,1.9925495,5,4000,1535,0.72
39,1775340370589,0.9949579,1.0053456,307.19852,204.54132,100,0.0497931,1.9925495,5,4100,1535,0.72
40,1775340370589,0.9949579,1.0019456,307.19852,204.54132,100,0.0497931,1.9925495,5,4200,1535,0.72
41,1775340370589,0.9949579,0.9982813,307.19852,204.54132,100,0.0497931,1.9925495,5,4300,1535,0.72
42,1775340370589,0.9949579,1.0028992,307.19852,204.54132,100,0.0497931,1.9925495,5,4400,1535,0.72
43,1775340370589,0.9949579,1.0001792,307.19852,204.54132,100,0.0497931,1.9925495,5,4500,1535,0.72
44,1775340370589,0.9949579,0.9985853,307.19852,204.54132,100,0.0497931,1.9925495,5,4600,1535,0.72
45,1775340370589,0.9949579,1.0019497,307.19852,204.54132,100,0.0497931,1.9925495,5,4700,1535,0.72
46,1775340370589,0.9949579,1.0023654,307.19852,204.54132,100,0.0497931,1.9925495,5,4800,1535,0.72
47,1775340370589,0.9949579,0.9971793,307.19852,204.54132,100,0.0497931,1.9925495,5,4900,1535,0.72
