iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
68,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7000,2842,0.615
69,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7100,2842,0.615
70,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7200,2842,0.615
71,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7300,2842,0.615
72,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7400,2842,0.615
73,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7500,2842,0.615
74,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7600,2842,0.615
75,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7700,2842,0.615
76,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7800,2842,0.615
77,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,7900,2842,0.615
78,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8000,2842,0.615
79,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8100,2842,0.615
80,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8200,2842,0.615
81,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8300,2842,0.615
82,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8400,2842,0.615
83,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8500,2842,0.615
84,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8600,2842,0.615
85,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8700,2842,0.615
86,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8800,2842,0.615
87,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,8900,2842,0.615
88,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9000,2842,0.615
89,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9100,2842,0.615
90,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9200,2842,0.615
91,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9300,2842,0.615
92,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9400,2842,0.615
93,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9500,2842,0.615
94,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9600,2842,0.615
95,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9700,2842,0.615
96,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9800,2842,0.615
97,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,9900,2842,0.615
98,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10000,2842,0.615
99,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10100,2842,0.615
100,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10200,2842,0.615
101,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10300,2842,0.615
102,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10400,2842,0.615
103,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10500,2842,0.615
104,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10600,2842,0.615
105,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10700,2842,0.615
106,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10800,2842,0.615
107,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,10900,2842,0.615
108,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11000,2842,0.615
109,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11100,2842,0.615
110,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11200,2842,0.615
111,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11300,2842,0.615
112,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11400,2842,0.615
113,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11500,2842,0.615
114,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11600,2842,0.615
115,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11700,2842,0.615
116,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11800,2842,0.615
117,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,11900,2842,0.615
118,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12000,2842,0.615
119,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12100,2842,0.615
120,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12200,2842,0.615
121,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12300,2842,0.615
122,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12400,2842,0.615
123,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12500,2842,0.615
124,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12600,2842,0.615
125,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12700,2842,0.615
126,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12800,2842,0.615
127,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,12900,2842,0.615
128,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13000,2842,0.615
129,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13100,2842,0.615
130,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13200,2842,0.615
131,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13300,2842,0.615
132,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13400,2842,0.615
133,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13500,2842,0.615
134,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13600,2842,0.615
135,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13700,2842,0.615
136,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13800,2842,0.615
137,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,13900,2842,0.615
138,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14000,2842,0.615
139,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14100,2842,0.615
140,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14200,2842,0.615
141,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14300,2842,0.615
142,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14400,2842,0.615
143,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14500,2842,0.615
144,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14600,2842,0.615
145,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14700,2842,0.615
146,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14800,2842,0.615
147,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,14900,2842,0.615
148,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15000,2842,0.615
149,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15100,2842,0.615
150,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15200,2842,0.615
151,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15300,2842,0.615
152,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15400,2842,0.615
153,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15500,2842,0.615
154,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15600,2842,0.615
155,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15700,2842,0.615
156,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15800,2842,0.615
157,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,15900,2842,0.615
158,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16000,2842,0.615
159,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16100,2842,0.615
160,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16200,2842,0.615
161,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16300,2842,0.615
162,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16400,2842,0.615
163,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16500,2842,0.615
164,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16600,2842,0.615
165,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16700,2842,0.615
166,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16800,2842,0.615
167,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,16900,2842,0.615
168,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17000,2842,0.615
169,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17100,2842,0.615
170,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17200,2842,0.615
171,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17300,2842,0.615
172,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17400,2842,0.615
173,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17500,2842,0.615
174,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17600,2842,0.615
175,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17700,2842,0.615
176,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17800,2842,0.615
177,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,17900,2842,0.615
178,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18000,2842,0.615
179,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18100,2842,0.615
180,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18200,2842,0.615
181,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18300,2842,0.615
182,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18400,2842,0.615
183,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18500,2842,0.615
184,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18600,2842,0.615
185,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18700,2842,0.615
186,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18800,2842,0.615
187,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,18900,2842,0.615
188,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19000,2842,0.615
189,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19100,2842,0.615
190,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19200,2842,0.615
191,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19300,2842,0.615
192,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19400,2842,0.615
193,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19500,2842,0.615
194,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19600,2842,0.615
195,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19700,2842,0.615
196,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19800,2842,0.615
197,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,19900,2842,0.615
198,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20000,2842,0.615
199,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20100,2842,0.615
200,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20200,2842,0.615
201,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20300,2842,0.615
202,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20400,2842,0.615
203,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20500,2842,0.615
