iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,2.331565,211.17212,156.65353,100,0.1,55.0,3,100,17,0.003
1,1.0117474,306.75403,103.073235,100,0.1,55.0,3,200,110,0.009
2,1.0117474,306.75403,103.073235,100,0.1,55.0,3,300,110,0.009
3,1.0117474,306.75403,103.073235,100,0.1,55.0,3,400,110,0.009
4,0.29222107,310.62946,152.63417,100,0.1,55.0,3,500,473,0.063
5,0.02407074,308.3187,153.67288,100,0.1,55.0,3,600,512,0.081
6,0.02407074,308.3187,153.67288,100,0.1,55.0,3,700,512,0.081
7,0.02407074,308.3187,153.67288,100,0.1,55.0,3,800,512,0.081
8,0.02407074,308.3187,153.67288,100,0.1,55.0,3,900,512,0.081
9,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1000,512,0.081
10,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1100,512,0.081
11,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1200,512,0.081
12,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1300,512,0.081
13,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1400,512,0.081
14,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1500,512,0.081
15,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1600,512,0.081
16,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1700,512,0.081
17,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1800,512,0.081
18,0.02407074,308.3187,153.67288,100,0.1,55.0,3,1900,512,0.081
19,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2000,512,0.081
20,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2100,512,0.081
21,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2200,512,0.081
22,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2300,512,0.081
23,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2400,512,0.081
24,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2500,512,0.081
25,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2600,512,0.081
26,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2700,512,0.081
27,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2800,512,0.081
28,0.02407074,308.3187,153.67288,100,0.1,55.0,3,2900,512,0.081
29,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3000,512,0.081
30,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3100,512,0.081
31,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3200,512,0.081
32,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3300,512,0.081
33,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3400,512,0.081
34,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3500,512,0.081
35,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3600,512,0.081
36,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3700,512,0.081
37,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3800,512,0.081
38,0.02407074,308.3187,153.67288,100,0.1,55.0,3,3900,512,0.081
39,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4000,512,0.081
40,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4100,512,0.081
41,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4200,512,0.081
42,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4300,512,0.081
43,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4400,512,0.081
44,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4500,512,0.081
45,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4600,512,0.081
46,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4700,512,0.081
47,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4800,512,0.081
48,0.02407074,308.3187,153.67288,100,0.1,55.0,3,4900,512,0.081
49,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5000,512,0.081
50,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5100,512,0.081
51,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5200,512,0.081
52,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5300,512,0.081
53,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5400,512,0.081
54,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5500,512,0.081
55,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5600,512,0.081
56,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5700,512,0.081
57,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5800,512,0.081
58,0.02407074,308.3187,153.67288,100,0.1,55.0,3,5900,512,0.081
59,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6000,512,0.081
60,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6100,512,0.081
61,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6200,512,0.081
62,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6300,512,0.081
63,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6400,512,0.081
64,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6500,512,0.081
65,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6600,512,0.081
66,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6700,512,0.081
67,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6800,512,0.081
68,0.02407074,308.3187,153.67288,100,0.1,55.0,3,6900,512,0.081
69,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7000,512,0.081
70,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7100,512,0.081
71,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7200,512,0.081
72,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7300,512,0.081
73,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7400,512,0.081
74,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7500,512,0.081
75,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7600,512,0.081
76,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7700,512,0.081
77,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7800,512,0.081
78,0.02407074,308.3187,153.67288,100,0.1,55.0,3,7900,512,0.081
79,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8000,512,0.081
80,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8100,512,0.081
81,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8200,512,0.081
82,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8300,512,0.081
83,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8400,512,0.081
84,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8500,512,0.081
85,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8600,512,0.081
86,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8700,512,0.081
87,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8800,512,0.081
88,0.02407074,308.3187,153.67288,100,0.1,55.0,3,8900,512,0.081
89,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9000,512,0.081
90,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9100,512,0.081
91,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9200,512,0.081
92,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9300,512,0.081
93,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9400,512,0.081
94,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9500,512,0.081
95,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9600,512,0.081
96,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9700,512,0.081
97,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9800,512,0.081
98,0.02407074,308.3187,153.67288,100,0.1,55.0,3,9900,512,0.081
99,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10000,512,0.081
100,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10100,512,0.081
101,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10200,512,0.081
102,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10300,512,0.081
103,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10400,512,0.081
104,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10500,512,0.081
105,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10600,512,0.081
106,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10700,512,0.081
107,0.02407074,308.3187,153.67288,100,0.1,55.0,3,10800,512,0.081
