iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340217497,2.260312,26.656422,205.64081,206.42746,100,0.0497931,1.9925495,5,200,150,0.071
1,1775340217497,2.260312,19.157597,205.64081,206.42746,100,0.0497931,1.9925495,5,300,150,0.071
2,1775340217497,1.3412752,12.897211,202.37526,155.15686,100,0.0497931,1.9925495,5,400,313,0.158
3,1775340217497,1.3412752,9.46458,202.37526,155.15686,100,0.0497931,1.9925495,5,500,313,0.158
4,1775340217497,1.10748,6.777509,203.03651,154.03406,100,0.0497931,1.9925495,5,600,568,0.283
5,1775340217497,1.0933275,6.886147,203.24982,154.08257,100,0.0497931,1.9925495,5,700,679,0.345
6,1775340217497,0.99974537,2.110328,205.39815,153.35187,100,0.0497931,1.9925495,5,800,778,0.415
7,1775340217497,0.99715805,1.09324,205.39983,153.76527,100,0.0497931,1.9925495,5,900,862,0.473
8,1775340217497,0.9951706,1.0186144,205.33821,153.65182,100,0.0497931,1.9925495,5,1000,988,0.538
9,1775340217497,0.99496746,1.0074996,205.29543,153.60307,100,0.0497931,1.9925495,5,1100,1041,0.596
10,1775340217497,0.9949627,1.0016427,205.32887,153.6014,100,0.0497931,1.9925495,5,1200,1142,0.667
11,1775340217497,0.9949608,0.9966787,205.32542,153.59938,100,0.0497931,1.9925495,5,1300,1250,0.729
12,1775340217497,0.99495983,1.002729,205.32005,153.59962,100,0.0497931,1.9925495,5,1400,1308,0.784
13,1775340217497,0.9949589,1.005335,205.32011,153.59872,100,0.0497931,1.9925495,5,1500,1409,0.851
14,1775340217497,0.9949579,0.9998455,205.31737,153.59935,100,0.0497931,1.9925495,5,1600,1512,0.915
15,1775340217497,0.9949579,1.0020988,205.31737,153.59935,100,0.0497931,1.9925495,5,1700,1512,0.915
16,1775340217497,0.9949579,1.0073563,205.31737,153.59935,100,0.0497931,1.9925495,5,1800,1512,0.915
17,1775340217497,0.9949579,1.0033512,205.31737,153.59935,100,0.0497931,1.9925495,5,1900,1512,0.915
18,1775340217497,0.9949579,1.00428,205.31737,153.59935,100,0.0497931,1.9925495,5,2000,1512,0.915
19,1775340217497,0.9949579,0.9951081,205.31737,153.59935,100,0.0497931,1.9925495,5,2100,1512,0.915
20,1775340217497,0.9949579,1.0039208,205.31737,153.59935,100,0.0497931,1.9925495,5,2200,1512,0.915
21,1775340217497,0.9949579,1.0070882,205.31737,153.59935,100,0.0497931,1.9925495,5,2300,1512,0.915
22,1775340217497,0.9949579,1.00466,205.31737,153.59935,100,0.0497931,1.9925495,5,2400,1512,0.915
23,1775340217497,0.9949579,1.0001647,205.31737,153.59935,100,0.0497931,1.9925495,5,2500,1512,0.915
24,1775340217497,0.9949579,0.99953157,205.31737,153.59935,100,0.0497931,1.9925495,5,2600,1512,0.915
25,1775340217497,0.9949579,0.99625295,205.31737,153.59935,100,0.0497931,1.9925495,5,2700,1512,0.915
26,1775340217497,0.9949579,0.9973494,205.31737,153.59935,100,0.0497931,1.9925495,5,2800,1512,0.915
