iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
49,1775340378937,0.0,0.001158781,307.1972,153.60075,100,0.0497931,1.9925495,5,5100,1940,0.927
50,1775340378937,0.0,0.0049044895,307.1972,153.60075,100,0.0497931,1.9925495,5,5200,1940,0.927
51,1775340378937,0.0,0.007980118,307.1972,153.60075,100,0.0497931,1.9925495,5,5300,1940,0.927
52,1775340378937,0.0,0.00530138,307.1972,153.60075,100,0.0497931,1.9925495,5,5400,1940,0.927
53,1775340378937,0.0,0.0069226646,307.1972,153.60075,100,0.0497931,1.9925495,5,5500,1940,0.927
54,1775340378937,0.0,0.0043413257,307.1972,153.60075,100,0.0497931,1.9925495,5,5600,1940,0.927
55,1775340378937,0.0,0.0,307.1972,153.60075,100,0.0497931,1.9925495,5,5700,1940,0.927
56,1775340378937,0.0,0.011599312,307.1972,153.60075,100,0.0497931,1.9925495,5,5800,1940,0.927
57,1775340378937,0.0,0.007066259,307.1972,153.60075,100,0.0497931,1.9925495,5,5900,1940,0.927
58,1775340378937,0.0,0.008892536,307.1972,153.60075,100,0.0497931,1.9925495,5,6000,1940,0.927
59,1775340378937,0.0,0.0027094174,307.1972,153.60075,100,0.0497931,1.9925495,5,6100,1940,0.927
60,1775340378937,0.0,0.004355364,307.1972,153.60075,100,0.0497931,1.9925495,5,6200,1940,0.927
61,1775340378937,0.0,5.954552E-4,307.1972,153.60075,100,0.0497931,1.9925495,5,6300,1940,0.927
62,1775340378937,0.0,0.0032828236,307.1972,153.60075,100,0.0497931,1.9925495,5,6400,1940,0.927
63,1775340378937,0.0,0.0047659683,307.1972,153.60075,100,0.0497931,1.9925495,5,6500,1940,0.927
64,1775340378937,0.0,0.016332474,307.1972,153.60075,100,0.0497931,1.9925495,5,6600,1940,0.927
65,1775340378937,0.0,0.0060253236,307.1972,153.60075,100,0.0497931,1.9925495,5,6700,1940,0.927
66,1775340378937,0.0,0.007020712,307.1972,153.60075,100,0.0497931,1.9925495,5,6800,1940,0.927
67,1775340378937,0.0,0.0047418214,307.1972,153.60075,100,0.0497931,1.9925495,5,6900,1940,0.927
68,1775340378937,0.0,0.011103115,307.1972,153.60075,100,0.0497931,1.9925495,5,7000,1940,0.927
69,1775340378937,0.0,0.0038063622,307.1972,153.60075,100,0.0497931,1.9925495,5,7100,1940,0.927
70,1775340378937,0.0,0.005873623,307.1972,153.60075,100,0.0497931,1.9925495,5,7200,1940,0.927
71,1775340378937,0.0,5.827618E-4,307.1972,153.60075,100,0.0497931,1.9925495,5,7300,1940,0.927
72,1775340378937,0.0,0.0057082176,307.1972,153.60075,100,0.0497931,1.9925495,5,7400,1940,0.927
73,1775340378937,0.0,0.0052947425,307.1972,153.60075,100,0.0497931,1.9925495,5,7500,1940,0.927
74,1775340378937,0.0,0.0054224394,307.1972,153.60075,100,0.0497931,1.9925495,5,7600,1940,0.927
75,1775340378937,0.0,0.010229263,307.1972,153.60075,100,0.0497931,1.9925495,5,7700,1940,0.927
76,1775340378937,0.0,0.009693517,307.1972,153.60075,100,0.0497931,1.9925495,5,7800,1940,0.927
77,1775340378937,0.0,0.008264704,307.1972,153.60075,100,0.0497931,1.9925495,5,7900,1940,0.927
78,1775340378937,0.0,0.007427282,307.1972,153.60075,100,0.0497931,1.9925495,5,8000,1940,0.927
79,1775340378937,0.0,0.0078530125,307.1972,153.60075,100,0.0497931,1.9925495,5,8100,1940,0.927
80,1775340378937,0.0,0.00758893,307.1972,153.60075,100,0.0497931,1.9925495,5,8200,1940,0.927
81,1775340378937,0.0,0.0020091343,307.1972,153.60075,100,0.0497931,1.9925495,5,8300,1940,0.927
82,1775340378937,0.0,0.005998516,307.1972,153.60075,100,0.0497931,1.9925495,5,8400,1940,0.927
83,1775340378937,0.0,0.0062915995,307.1972,153.60075,100,0.0497931,1.9925495,5,8500,1940,0.927
