iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,3.7631664,412.6653,209.08597,100,0.1,55.0,3,100,20,0.005
1,1.3788195,200.80766,153.4986,100,0.1,55.0,3,200,103,0.015
2,1.3788195,200.80766,153.4986,100,0.1,55.0,3,300,103,0.015
3,0.24930096,310.8144,153.80359,100,0.1,55.0,3,400,370,0.046
4,0.069179535,307.08603,154.55493,100,0.1,55.0,3,500,408,0.064
5,0.013353348,307.08484,153.18387,100,0.1,55.0,3,600,514,0.082
6,0.0057401657,307.08545,153.8694,100,0.1,55.0,3,700,636,0.098
7,2.965927E-4,307.14136,153.54456,100,0.1,55.0,3,800,718,0.115
8,2.965927E-4,307.14136,153.54456,100,0.1,55.0,3,900,718,0.115
9,1.7261505E-4,307.1117,153.61823,100,0.1,55.0,3,1000,908,0.149
10,1.9073486E-6,307.19025,153.60135,100,0.1,55.0,3,1100,1042,0.163
11,1.9073486E-6,307.19025,153.60135,100,0.1,55.0,3,1200,1042,0.163
12,0.0,307.20273,153.6019,100,0.1,55.0,3,1300,1251,0.208
13,0.0,307.20273,153.6019,100,0.1,55.0,3,1400,1251,0.208
14,0.0,307.20273,153.6019,100,0.1,55.0,3,1500,1251,0.208
15,0.0,307.20273,153.6019,100,0.1,55.0,3,1600,1251,0.208
16,0.0,307.20273,153.6019,100,0.1,55.0,3,1700,1251,0.208
17,0.0,307.20273,153.6019,100,0.1,55.0,3,1800,1251,0.208
18,0.0,307.20273,153.6019,100,0.1,55.0,3,1900,1251,0.208
19,0.0,307.20273,153.6019,100,0.1,55.0,3,2000,1251,0.208
20,0.0,307.20273,153.6019,100,0.1,55.0,3,2100,1251,0.208
21,0.0,307.20273,153.6019,100,0.1,55.0,3,2200,1251,0.208
22,0.0,307.20273,153.6019,100,0.1,55.0,3,2300,1251,0.208
23,0.0,307.20273,153.6019,100,0.1,55.0,3,2400,1251,0.208
24,0.0,307.20273,153.6019,100,0.1,55.0,3,2500,1251,0.208
25,0.0,307.20273,153.6019,100,0.1,55.0,3,2600,1251,0.208
26,0.0,307.20273,153.6019,100,0.1,55.0,3,2700,1251,0.208
27,0.0,307.20273,153.6019,100,0.1,55.0,3,2800,1251,0.208
28,0.0,307.20273,153.6019,100,0.1,55.0,3,2900,1251,0.208
29,0.0,307.20273,153.6019,100,0.1,55.0,3,3000,1251,0.208
30,0.0,307.20273,153.6019,100,0.1,55.0,3,3100,1251,0.208
31,0.0,307.20273,153.6019,100,0.1,55.0,3,3200,1251,0.208
32,0.0,307.20273,153.6019,100,0.1,55.0,3,3300,1251,0.208
33,0.0,307.20273,153.6019,100,0.1,55.0,3,3400,1251,0.208
34,0.0,307.20273,153.6019,100,0.1,55.0,3,3500,1251,0.208
