iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340362346,4.2962093,30.333946,99.58118,154.2912,100,0.0497931,1.9925495,5,200,193,0.055
1,1775340362346,4.2962093,21.331676,99.58118,154.2912,100,0.0497931,1.9925495,5,300,193,0.055
2,1775340362346,0.2801857,17.047264,304.9676,155.17029,100,0.0497931,1.9925495,5,400,351,0.12
3,1775340362346,0.12700176,13.4298525,305.72412,152.53438,100,0.0497931,1.9925495,5,500,417,0.171
4,1775340362346,0.08828354,9.486545,305.0564,153.46071,100,0.0497931,1.9925495,5,600,552,0.219
5,1775340362346,0.07462406,4.5551076,307.94833,152.6797,100,0.0497931,1.9925495,5,700,610,0.269
6,1775340362346,0.006251335,0.82062554,307.53717,153.83278,100,0.0497931,1.9925495,5,800,735,0.318
7,1775340362346,0.0016345978,0.07356328,307.45822,153.52985,100,0.0497931,1.9925495,5,900,826,0.369
8,1775340362346,1.0204315E-4,0.030604668,307.2536,153.57483,100,0.0497931,1.9925495,5,1000,978,0.42
9,1775340362346,9.536743E-5,0.011169882,307.13043,153.60693,100,0.0497931,1.9925495,5,1100,1040,0.47
10,1775340362346,1.04904175E-5,0.006105108,307.2235,153.59944,100,0.0497931,1.9925495,5,1200,1196,0.521
11,1775340362346,2.861023E-6,5.744648E-4,307.19266,153.5952,100,0.0497931,1.9925495,5,1300,1201,0.572
12,1775340362346,0.0,0.008063698,307.20175,153.60164,100,0.0497931,1.9925495,5,1400,1353,0.624
13,1775340362346,0.0,0.005810261,307.20175,153.60164,100,0.0497931,1.9925495,5,1500,1353,0.624
14,1775340362346,0.0,0.007009659,307.20175,153.60164,100,0.0497931,1.9925495,5,1600,1353,0.624
15,1775340362346,0.0,0.0065617845,307.20175,153.60164,100,0.0497931,1.9925495,5,1700,1353,0.624
16,1775340362346,0.0,0.013316202,307.20175,153.60164,100,0.0497931,1.9925495,5,1800,1353,0.624
17,1775340362346,0.0,0.009299955,307.20175,153.60164,100,0.0497931,1.9925495,5,1900,1353,0.624
18,1775340362346,0.0,0.009781799,307.20175,153.60164,100,0.0497931,1.9925495,5,2000,1353,0.624
19,1775340362346,0.0,0.002570944,307.20175,153.60164,100,0.0497931,1.9925495,5,2100,1353,0.624
20,1775340362346,0.0,0.0037189485,307.20175,153.60164,100,0.0497931,1.9925495,5,2200,1353,0.624
21,1775340362346,0.0,0.0021564388,307.20175,153.60164,100,0.0497931,1.9925495,5,2300,1353,0.624
22,1775340362346,0.0,0.008904562,307.20175,153.60164,100,0.0497931,1.9925495,5,2400,1353,0.624
