iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340155034,2.2802534,27.799055,304.61212,208.48412,100,0.06559938,13.1198845,5,200,185,0.066
1,1775340155034,2.2802534,18.537933,304.61212,208.48412,100,0.065271385,13.054285,5,300,185,0.066
2,1775340155034,0.5467739,15.33324,312.45255,152.97803,100,0.06494503,12.989014,5,400,317,0.156
3,1775340155034,0.5467739,11.989699,312.45255,152.97803,100,0.0646203,12.924068,5,500,317,0.156
4,1775340155034,0.5467739,8.967861,312.45255,152.97803,100,0.0642972,12.859448,5,600,317,0.156
5,1775340155034,0.16262722,6.0338697,304.55115,152.9685,100,0.063975714,12.795152,5,700,659,0.347
6,1775340155034,0.001789093,1.4385818,306.97903,153.7069,100,0.06365584,12.731176,5,800,705,0.405
7,1775340155034,0.001789093,0.66165847,306.97903,153.7069,100,0.06333756,12.6675205,5,900,705,0.405
8,1775340155034,0.001789093,0.2391884,306.97903,153.7069,100,0.06302087,12.604183,5,1000,705,0.405
9,1775340155034,3.0517578E-5,0.13048205,307.2395,153.5968,100,0.06270576,12.5411625,5,1100,1037,0.584
10,1775340155034,3.0517578E-5,0.36304143,307.2395,153.5968,100,0.062392235,12.4784565,5,1200,1037,0.584
11,1775340155034,3.8146973E-6,0.07723763,307.2073,153.60652,100,0.062080275,12.416064,5,1300,1275,0.716
12,1775340155034,3.8146973E-6,0.1401866,307.2073,153.60652,100,0.061769873,12.353984,5,1400,1275,0.716
13,1775340155034,9.536743E-7,0.1797823,307.1996,153.59708,100,0.061461024,12.292214,5,1500,1421,0.849
14,1775340155034,0.0,0.2950846,307.20334,153.59828,100,0.061153717,12.230753,5,1600,1509,0.915
15,1775340155034,0.0,0.114331916,307.20334,153.59828,100,0.06084795,12.1696,5,1700,1509,0.915
16,1775340155034,0.0,0.3939323,307.20334,153.59828,100,0.06054371,12.108751,5,1800,1509,0.915
17,1775340155034,0.0,0.37933755,307.20334,153.59828,100,0.06024099,12.048207,5,1900,1509,0.915
18,1775340155034,0.0,0.11655188,307.20334,153.59828,100,0.059939787,11.987967,5,2000,1509,0.915
19,1775340155034,0.0,0.19795178,307.20334,153.59828,100,0.059640087,11.928027,5,2100,1509,0.915
20,1775340155034,0.0,0.21790604,307.20334,153.59828,100,0.05934189,11.868387,5,2200,1509,0.915
21,1775340155034,0.0,0.30063435,307.20334,153.59828,100,0.05904518,11.809046,5,2300,1509,0.915
22,1775340155034,0.0,0.27215424,307.20334,153.59828,100,0.058749955,11.750001,5,2400,1509,0.915
23,1775340155034,0.0,0.2019648,307.20334,153.59828,100,0.058456205,11.691251,5,2500,1509,0.915
24,1775340155034,0.0,0.14477187,307.20334,153.59828,100,0.058163922,11.632794,5,2600,1509,0.915
25,1775340155034,0.0,0.38258752,307.20334,153.59828,100,0.057873104,11.574631,5,2700,1509,0.915
26,1775340155034,0.0,0.16773705,307.20334,153.59828,100,0.057583738,11.516758,5,2800,1509,0.915
27,1775340155034,0.0,0.38293493,307.20334,153.59828,100,0.057295818,11.459174,5,2900,1509,0.915
28,1775340155034,0.0,0.1289017,307.20334,153.59828,100,0.05700934,11.401878,5,3000,1509,0.915
29,1775340155034,0.0,0.018860206,307.20334,153.59828,100,0.05672429,11.344869,5,3100,1509,0.915
30,1775340155034,0.0,0.19778404,307.20334,153.59828,100,0.05644067,11.288144,5,3200,1509,0.915
31,1775340155034,0.0,0.37174356,307.20334,153.59828,100,0.056158468,11.231704,5,3300,1509,0.915
32,1775340155034,0.0,0.15604876,307.20334,153.59828,100,0.055877674,11.175546,5,3400,1509,0.915
33,1775340155034,0.0,0.15062529,307.20334,153.59828,100,0.055598285,11.119668,5,3500,1509,0.915
34,1775340155034,0.0,0.33923125,307.20334,153.59828,100,0.055320293,11.06407,5,3600,1509,0.915
35,1775340155034,0.0,0.26807797,307.20334,153.59828,100,0.05504369,11.008749,5,3700,1509,0.915
36,1775340155034,0.0,0.19135122,307.20334,153.59828,100,0.054768473,10.953706,5,3800,1509,0.915
37,1775340155034,0.0,0.16112046,307.20334,153.59828,100,0.05449463,10.898937,5,3900,1509,0.915
38,1775340155034,0.0,0.020945616,307.20334,153.59828,100,0.05422216,10.844442,5,4000,1509,0.915
39,1775340155034,0.0,0.11951175,307.20334,153.59828,100,0.053951047,10.79022,5,4100,1509,0.915
