iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774830595043,1.8199615,313.50543,203.49893,100,0.9,55.0,3,200,57,1.539
1,1774830595043,1.8199615,313.50543,203.49893,100,0.9,55.0,3,300,57,1.539
2,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,400,364,0.364
3,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,500,364,0.364
4,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,600,364,0.364
5,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,700,364,0.364
6,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,800,364,0.364
7,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,900,364,0.364
8,1774830595043,0.26339436,303.90915,152.71523,100,0.9,55.0,3,1000,364,0.364
9,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1100,1008,0.701
10,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1200,1008,0.701
11,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1300,1008,0.701
12,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1400,1008,0.701
13,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1500,1008,0.701
14,1774830595043,0.14408302,306.213,154.8899,100,0.9,55.0,3,1600,1008,0.701
15,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,1700,1617,1.002
16,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,1800,1617,1.002
17,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,1900,1617,1.002
18,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2000,1617,1.002
19,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2100,1617,1.002
20,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2200,1617,1.002
21,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2300,1617,1.002
22,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2400,1617,1.002
23,1774830595043,0.107437134,306.9745,152.41283,100,0.9,55.0,3,2500,1617,1.002
24,1774830595043,0.036395073,307.64627,152.94324,100,0.9,55.0,3,2600,2583,1.454
25,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,2700,2602,1.505
26,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,2800,2602,1.505
27,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,2900,2602,1.505
28,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3000,2602,1.505
29,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3100,2602,1.505
30,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3200,2602,1.505
31,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3300,2602,1.505
32,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3400,2602,1.505
33,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3500,2602,1.505
34,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3600,2602,1.505
35,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3700,2602,1.505
36,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3800,2602,1.505
37,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,3900,2602,1.505
38,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4000,2602,1.505
39,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4100,2602,1.505
40,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4200,2602,1.505
41,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4300,2602,1.505
42,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4400,2602,1.505
43,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4500,2602,1.505
44,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4600,2602,1.505
45,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4700,2602,1.505
46,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4800,2602,1.505
47,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,4900,2602,1.505
48,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5000,2602,1.505
49,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5100,2602,1.505
50,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5200,2602,1.505
51,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5300,2602,1.505
52,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5400,2602,1.505
53,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5500,2602,1.505
54,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5600,2602,1.505
55,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5700,2602,1.505
56,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5800,2602,1.505
57,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,5900,2602,1.505
58,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6000,2602,1.505
59,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6100,2602,1.505
60,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6200,2602,1.505
61,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6300,2602,1.505
62,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6400,2602,1.505
63,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6500,2602,1.505
64,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6600,2602,1.505
65,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6700,2602,1.505
66,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6800,2602,1.505
67,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,6900,2602,1.505
68,1774830595043,0.0033540726,307.5559,153.48752,100,0.9,55.0,3,7000,2602,1.505
