iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774830677596,2.3600469,311.37183,148.32657,100,0.9,55.0,3,200,169,0.019
1,1774830677596,2.3600469,311.37183,148.32657,100,0.9,55.0,3,300,169,0.019
2,1774830677596,2.3600469,311.37183,148.32657,100,0.9,55.0,3,400,169,0.019
3,1774830677596,1.0751047,309.01276,103.14665,100,0.9,55.0,3,500,491,0.165
4,1774830677596,1.0751047,309.01276,103.14665,100,0.9,55.0,3,600,491,0.165
5,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,700,644,0.267
6,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,800,644,0.267
7,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,900,644,0.267
8,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1000,644,0.267
9,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1100,644,0.267
10,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1200,644,0.267
11,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1300,644,0.267
12,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1400,644,0.267
13,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1500,644,0.267
14,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1600,644,0.267
15,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1700,644,0.267
16,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1800,644,0.267
17,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,1900,644,0.267
18,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2000,644,0.267
19,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2100,644,0.267
20,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2200,644,0.267
21,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2300,644,0.267
22,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2400,644,0.267
23,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2500,644,0.267
24,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2600,644,0.267
25,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2700,644,0.267
26,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2800,644,0.267
27,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,2900,644,0.267
28,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,3000,644,0.267
29,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,3100,644,0.267
30,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,3200,644,0.267
31,1774830677596,0.21984291,308.3986,155.19814,100,0.9,55.0,3,3300,644,0.267
32,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3400,3362,1.63
33,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3500,3362,1.63
34,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3600,3362,1.63
35,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3700,3362,1.63
36,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3800,3362,1.63
37,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,3900,3362,1.63
38,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4000,3362,1.63
39,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4100,3362,1.63
40,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4200,3362,1.63
41,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4300,3362,1.63
42,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4400,3362,1.63
43,1774830677596,0.1009922,309.42578,153.28717,100,0.9,55.0,3,4500,3362,1.63
44,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,4600,4533,2.236
45,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,4700,4533,2.236
46,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,4800,4533,2.236
47,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,4900,4533,2.236
48,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,5000,4533,2.236
49,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,5100,4533,2.236
50,1774830677596,0.011015892,306.8461,153.93802,100,0.9,55.0,3,5200,4533,2.236
51,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5300,5244,2.59
52,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5400,5244,2.59
53,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5500,5244,2.59
54,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5600,5244,2.59
55,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5700,5244,2.59
56,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5800,5244,2.59
57,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,5900,5244,2.59
58,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6000,5244,2.59
59,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6100,5244,2.59
60,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6200,5244,2.59
61,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6300,5244,2.59
62,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6400,5244,2.59
63,1774830677596,8.535385E-4,307.08044,153.68782,100,0.9,55.0,3,6500,5244,2.59
