iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
69,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7100,939,0.426
70,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7200,939,0.426
71,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7300,939,0.426
72,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7400,939,0.426
73,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7500,939,0.426
74,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7600,939,0.426
75,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7700,939,0.426
76,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7800,939,0.426
77,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7900,939,0.426
78,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8000,939,0.426
79,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8100,939,0.426
80,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8200,939,0.426
81,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8300,939,0.426
82,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8400,939,0.426
83,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8500,939,0.426
84,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8600,939,0.426
85,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8700,939,0.426
86,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8800,939,0.426
87,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8900,939,0.426
88,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9000,939,0.426
89,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9100,939,0.426
90,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9200,939,0.426
91,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9300,939,0.426
92,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9400,939,0.426
93,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9500,939,0.426
94,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9600,939,0.426
95,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9700,939,0.426
96,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9800,939,0.426
97,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9900,939,0.426
98,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10000,939,0.426
99,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10100,939,0.426
100,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10200,939,0.426
101,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10300,939,0.426
102,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10400,939,0.426
103,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10500,939,0.426
104,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10600,939,0.426
105,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10700,939,0.426
106,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10800,939,0.426
107,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,10900,939,0.426
108,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11000,939,0.426
109,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11100,939,0.426
110,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11200,939,0.426
111,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11300,939,0.426
112,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11400,939,0.426
113,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11500,939,0.426
114,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11600,939,0.426
115,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11700,939,0.426
116,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11800,939,0.426
117,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,11900,939,0.426
118,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12000,939,0.426
119,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12100,939,0.426
120,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12200,939,0.426
121,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12300,939,0.426
122,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12400,939,0.426
123,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12500,939,0.426
124,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12600,939,0.426
125,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12700,939,0.426
126,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12800,939,0.426
127,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,12900,939,0.426
128,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13000,939,0.426
129,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13100,939,0.426
130,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13200,939,0.426
131,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13300,939,0.426
132,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13400,939,0.426
133,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13500,939,0.426
134,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13600,939,0.426
135,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13700,939,0.426
136,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13800,939,0.426
137,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,13900,939,0.426
138,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14000,939,0.426
139,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14100,939,0.426
140,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14200,939,0.426
141,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14300,939,0.426
142,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14400,939,0.426
143,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14500,939,0.426
144,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14600,939,0.426
145,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,14700,939,0.426
146,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,14800,14756,7.398
147,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,14900,14756,7.398
148,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15000,14756,7.398
149,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15100,14756,7.398
150,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15200,14756,7.398
151,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15300,14756,7.398
152,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15400,14756,7.398
153,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15500,14756,7.398
154,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15600,14756,7.398
155,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15700,14756,7.398
156,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15800,14756,7.398
157,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,15900,14756,7.398
158,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16000,14756,7.398
159,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16100,14756,7.398
160,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16200,14756,7.398
161,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16300,14756,7.398
162,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16400,14756,7.398
163,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16500,14756,7.398
164,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16600,14756,7.398
165,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16700,14756,7.398
166,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16800,14756,7.398
167,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,16900,14756,7.398
168,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17000,14756,7.398
169,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17100,14756,7.398
170,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17200,14756,7.398
171,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17300,14756,7.398
172,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17400,14756,7.398
173,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17500,14756,7.398
174,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17600,14756,7.398
175,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17700,14756,7.398
176,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17800,14756,7.398
177,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,17900,14756,7.398
178,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18000,14756,7.398
179,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18100,14756,7.398
180,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18200,14756,7.398
181,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18300,14756,7.398
182,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18400,14756,7.398
183,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18500,14756,7.398
184,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18600,14756,7.398
185,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18700,14756,7.398
186,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18800,14756,7.398
187,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,18900,14756,7.398
188,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,19000,14756,7.398
189,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,19100,14756,7.398
190,1774830611276,0.021501541,306.8054,154.09521,100,0.9,55.0,3,19200,14756,7.398
