iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
69,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7100,503,0.066
70,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7200,503,0.066
71,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7300,503,0.066
72,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7400,503,0.066
73,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7500,503,0.066
74,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7600,503,0.066
75,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7700,503,0.066
76,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7800,503,0.066
77,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,7900,503,0.066
78,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8000,503,0.066
79,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8100,503,0.066
80,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8200,503,0.066
81,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8300,503,0.066
82,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8400,503,0.066
83,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8500,503,0.066
84,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8600,503,0.066
85,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8700,503,0.066
86,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8800,503,0.066
87,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,8900,503,0.066
88,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9000,503,0.066
89,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9100,503,0.066
90,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9200,503,0.066
91,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9300,503,0.066
92,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9400,503,0.066
93,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9500,503,0.066
94,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9600,503,0.066
95,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9700,503,0.066
96,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9800,503,0.066
97,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,9900,503,0.066
98,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10000,503,0.066
99,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10100,503,0.066
100,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10200,503,0.066
101,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10300,503,0.066
102,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10400,503,0.066
103,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10500,503,0.066
104,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10600,503,0.066
105,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10700,503,0.066
106,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10800,503,0.066
107,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,10900,503,0.066
108,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11000,503,0.066
109,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11100,503,0.066
110,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11200,503,0.066
111,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11300,503,0.066
112,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11400,503,0.066
113,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11500,503,0.066
114,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11600,503,0.066
115,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11700,503,0.066
116,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11800,503,0.066
117,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,11900,503,0.066
118,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,12000,503,0.066
119,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,12100,503,0.066
120,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,12200,503,0.066
121,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,12300,503,0.066
