iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774274389070,2.3803282,406.71033,149.44406,100,0.1,55.0,3,200,146,0.014
1,1774274389070,2.2697868,408.70233,206.45793,100,0.1,55.0,3,300,205,0.032
2,1774274389070,0.2996502,305.85553,151.72298,100,0.1,55.0,3,400,302,0.05
3,1774274389070,0.10385132,305.53143,154.42303,100,0.1,55.0,3,500,444,0.067
4,1774274389070,0.06392193,305.69348,153.073,100,0.1,55.0,3,600,545,0.085
5,1774274389070,0.061897278,305.40533,153.48389,100,0.1,55.0,3,700,688,0.103
6,1774274389070,0.04347992,308.52753,153.23367,100,0.1,55.0,3,800,771,0.124
7,1774274389070,0.033947945,308.51288,153.73376,100,0.1,55.0,3,900,894,0.14
8,1774274389070,0.006360054,306.9378,153.34146,100,0.1,55.0,3,1000,903,0.159
9,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1100,1044,0.172
10,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1200,1044,0.172
11,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1300,1044,0.172
12,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1400,1044,0.172
13,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1500,1044,0.172
14,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1600,1044,0.172
15,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1700,1044,0.172
16,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1800,1044,0.172
17,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,1900,1044,0.172
18,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2000,1044,0.172
19,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2100,1044,0.172
20,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2200,1044,0.172
21,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2300,1044,0.172
22,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2400,1044,0.172
23,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2500,1044,0.172
24,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2600,1044,0.172
25,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2700,1044,0.172
26,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2800,1044,0.172
27,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,2900,1044,0.172
28,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3000,1044,0.172
29,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3100,1044,0.172
30,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3200,1044,0.172
31,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3300,1044,0.172
32,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3400,1044,0.172
33,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3500,1044,0.172
34,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3600,1044,0.172
35,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3700,1044,0.172
36,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3800,1044,0.172
37,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,3900,1044,0.172
38,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4000,1044,0.172
39,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4100,1044,0.172
40,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4200,1044,0.172
41,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4300,1044,0.172
42,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4400,1044,0.172
43,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4500,1044,0.172
44,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4600,1044,0.172
45,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4700,1044,0.172
46,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4800,1044,0.172
47,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,4900,1044,0.172
48,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5000,1044,0.172
49,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5100,1044,0.172
50,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5200,1044,0.172
51,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5300,1044,0.172
52,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5400,1044,0.172
53,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5500,1044,0.172
54,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5600,1044,0.172
55,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5700,1044,0.172
56,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5800,1044,0.172
57,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,5900,1044,0.172
58,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6000,1044,0.172
59,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6100,1044,0.172
60,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6200,1044,0.172
61,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6300,1044,0.172
62,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6400,1044,0.172
63,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6500,1044,0.172
64,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6600,1044,0.172
65,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6700,1044,0.172
66,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6800,1044,0.172
67,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,6900,1044,0.172
68,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7000,1044,0.172
69,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7100,1044,0.172
70,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7200,1044,0.172
71,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7300,1044,0.172
72,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7400,1044,0.172
73,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7500,1044,0.172
74,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7600,1044,0.172
75,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7700,1044,0.172
76,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7800,1044,0.172
77,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,7900,1044,0.172
78,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8000,1044,0.172
79,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8100,1044,0.172
80,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8200,1044,0.172
81,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8300,1044,0.172
82,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8400,1044,0.172
83,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8500,1044,0.172
84,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8600,1044,0.172
85,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8700,1044,0.172
86,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8800,1044,0.172
87,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,8900,1044,0.172
88,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9000,1044,0.172
89,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9100,1044,0.172
90,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9200,1044,0.172
91,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9300,1044,0.172
92,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9400,1044,0.172
93,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9500,1044,0.172
94,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9600,1044,0.172
95,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9700,1044,0.172
96,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9800,1044,0.172
97,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,9900,1044,0.172
98,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,10000,1044,0.172
99,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,10100,1044,0.172
100,1774274389070,0.0027236938,307.27893,153.78554,100,0.1,55.0,3,10200,1044,0.172
