iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
68,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6900,770,0.12
69,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7000,770,0.12
70,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7100,770,0.12
71,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7200,770,0.12
72,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7300,770,0.12
73,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7400,770,0.12
74,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7500,770,0.12
75,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7600,770,0.12
76,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7700,770,0.12
77,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7800,770,0.12
78,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,7900,770,0.12
79,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8000,770,0.12
80,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8100,770,0.12
81,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8200,770,0.12
82,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8300,770,0.12
83,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8400,770,0.12
84,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8500,770,0.12
85,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8600,770,0.12
86,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8700,770,0.12
87,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8800,770,0.12
88,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,8900,770,0.12
89,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9000,770,0.12
90,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9100,770,0.12
91,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9200,770,0.12
92,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9300,770,0.12
93,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9400,770,0.12
94,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9500,770,0.12
95,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9600,770,0.12
96,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9700,770,0.12
97,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9800,770,0.12
98,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,9900,770,0.12
99,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10000,770,0.12
100,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10100,770,0.12
101,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10200,770,0.12
102,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10300,770,0.12
103,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10400,770,0.12
104,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10500,770,0.12
105,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10600,770,0.12
106,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10700,770,0.12
107,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10800,770,0.12
108,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,10900,770,0.12
109,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11000,770,0.12
110,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11100,770,0.12
111,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11200,770,0.12
112,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11300,770,0.12
113,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11400,770,0.12
114,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11500,770,0.12
115,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11600,770,0.12
116,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11700,770,0.12
117,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11800,770,0.12
118,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,11900,770,0.12
119,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12000,770,0.12
120,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12100,770,0.12
121,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12200,770,0.12
122,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12300,770,0.12
123,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12400,770,0.12
124,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12500,770,0.12
125,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12600,770,0.12
126,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12700,770,0.12
127,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12800,770,0.12
128,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,12900,770,0.12
129,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13000,770,0.12
130,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13100,770,0.12
131,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13200,770,0.12
132,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13300,770,0.12
133,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13400,770,0.12
134,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13500,770,0.12
135,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13600,770,0.12
136,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13700,770,0.12
137,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13800,770,0.12
138,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,13900,770,0.12
139,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14000,770,0.12
140,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14100,770,0.12
141,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14200,770,0.12
142,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14300,770,0.12
143,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14400,770,0.12
144,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14500,770,0.12
145,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14600,770,0.12
146,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14700,770,0.12
147,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14800,770,0.12
148,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,14900,770,0.12
149,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15000,770,0.12
150,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15100,770,0.12
151,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15200,770,0.12
152,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15300,770,0.12
153,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15400,770,0.12
154,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15500,770,0.12
155,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15600,770,0.12
156,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15700,770,0.12
157,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15800,770,0.12
158,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,15900,770,0.12
