iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,4.204376,413.45236,209.55574,100,0.1,55.0,3,100,68,0.216
1,2.8628292,404.58508,201.97226,100,0.1,55.0,3,200,112,0.237
2,1.6887217,300.69104,157.07008,100,0.1,55.0,3,300,218,0.257
3,0.9955549,307.24432,204.62787,100,0.1,55.0,3,400,374,0.274
4,0.22561073,310.65952,153.61322,100,0.1,55.0,3,500,485,0.292
5,0.22561073,310.65952,153.61322,100,0.1,55.0,3,600,485,0.292
6,0.22561073,310.65952,153.61322,100,0.1,55.0,3,700,485,0.292
7,0.22561073,310.65952,153.61322,100,0.1,55.0,3,800,485,0.292
8,0.22561073,310.65952,153.61322,100,0.1,55.0,3,900,485,0.292
9,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1000,485,0.292
10,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1100,485,0.292
11,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1200,485,0.292
12,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1300,485,0.292
13,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1400,485,0.292
14,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1500,485,0.292
15,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1600,485,0.292
16,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1700,485,0.292
17,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1800,485,0.292
18,0.22561073,310.65952,153.61322,100,0.1,55.0,3,1900,485,0.292
19,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2000,485,0.292
20,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2100,485,0.292
21,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2200,485,0.292
22,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2300,485,0.292
23,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2400,485,0.292
24,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2500,485,0.292
25,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2600,485,0.292
26,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2700,485,0.292
27,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2800,485,0.292
28,0.22561073,310.65952,153.61322,100,0.1,55.0,3,2900,485,0.292
29,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3000,485,0.292
30,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3100,485,0.292
31,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3200,485,0.292
32,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3300,485,0.292
33,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3400,485,0.292
34,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3500,485,0.292
35,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3600,485,0.292
36,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3700,485,0.292
37,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3800,485,0.292
38,0.22561073,310.65952,153.61322,100,0.1,55.0,3,3900,485,0.292
39,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4000,485,0.292
40,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4100,485,0.292
41,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4200,485,0.292
42,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4300,485,0.292
43,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4400,485,0.292
44,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4500,485,0.292
45,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4600,485,0.292
46,0.22561073,310.65952,153.61322,100,0.1,55.0,3,4700,485,0.292
