iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,100,21,0.234
1,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,200,21,0.234
2,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,300,21,0.234
3,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,400,21,0.234
4,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,500,21,0.234
5,7.10033,1774578458457,217.25957,146.53694,100,3000.0,30.0,10.0,600,21,0.234
6,6.1266546,1774578458457,208.43257,110.18817,100,3000.0,30.0,10.0,700,633,0.329
7,5.117035,1774578458457,205.56833,109.29594,100,3000.0,30.0,10.0,800,733,0.344
8,4.496704,1774578458457,202.70409,108.4037,100,3000.0,30.0,10.0,900,833,0.362
9,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1000,933,0.381
10,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1100,933,0.381
11,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1200,933,0.381
12,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1300,933,0.381
13,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1400,933,0.381
14,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1500,933,0.381
15,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1600,933,0.381
16,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1700,933,0.381
17,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1800,933,0.381
18,4.2727847,1774578458457,199.83984,107.51147,100,3000.0,30.0,10.0,1900,933,0.381
19,4.1985435,1774578458457,204.79381,210.02199,100,3000.0,30.0,10.0,2000,1981,0.599
20,2.517005,1774578458457,204.06271,207.11243,100,3000.0,30.0,10.0,2100,2081,0.63
21,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2200,2181,0.652
22,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2300,2181,0.652
23,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2400,2181,0.652
24,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2500,2181,0.652
25,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2600,2181,0.652
26,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2700,2181,0.652
27,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2800,2181,0.652
28,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,2900,2181,0.652
29,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,3000,2181,0.652
30,2.0730944,1774578458457,203.33162,204.20287,100,3000.0,30.0,10.0,3100,2181,0.652
31,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3200,3125,0.842
32,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3300,3125,0.842
33,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3400,3125,0.842
34,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3500,3125,0.842
35,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3600,3125,0.842
36,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3700,3125,0.842
37,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3800,3125,0.842
38,1.9916325,1774578458457,205.02402,102.694336,100,3000.0,30.0,10.0,3900,3125,0.842
39,1.9582043,1774578458457,202.27208,156.84848,100,3000.0,30.0,10.0,4000,3990,0.977
40,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4100,4090,1.007
41,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4200,4090,1.007
42,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4300,4090,1.007
43,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4400,4090,1.007
44,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4500,4090,1.007
45,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4600,4090,1.007
46,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4700,4090,1.007
47,1.3361073,1774578458457,201.16435,154.06049,100,3000.0,30.0,10.0,4800,4090,1.007
48,1.3086252,1774578458457,209.38684,153.79086,100,3000.0,30.0,10.0,4900,4816,1.13
49,1.3086252,1774578458457,209.38684,153.79086,100,3000.0,30.0,10.0,5000,4816,1.13
50,1.3086252,1774578458457,209.38684,153.79086,100,3000.0,30.0,10.0,5100,4816,1.13
51,1.3086252,1774578458457,209.38684,153.79086,100,3000.0,30.0,10.0,5200,4816,1.13
52,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5300,5277,1.207
53,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5400,5277,1.207
54,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5500,5277,1.207
55,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5600,5277,1.207
56,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5700,5277,1.207
57,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5800,5277,1.207
58,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,5900,5277,1.207
59,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,6000,5277,1.207
60,1.237956,1774578458457,310.40762,103.46335,100,3000.0,30.0,10.0,6100,5277,1.207
61,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6200,6110,1.35
62,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6300,6110,1.35
63,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6400,6110,1.35
64,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6500,6110,1.35
65,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6600,6110,1.35
66,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6700,6110,1.35
67,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6800,6110,1.35
68,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,6900,6110,1.35
69,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7000,6110,1.35
70,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7100,6110,1.35
71,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7200,6110,1.35
72,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7300,6110,1.35
73,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7400,6110,1.35
74,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7500,6110,1.35
75,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7600,6110,1.35
76,1.1778803,1774578458457,310.30417,204.41821,100,3000.0,30.0,10.0,7700,6110,1.35
77,0.86517334,1774578458457,310.79797,150.72005,100,3000.0,30.0,10.0,7800,7701,1.616
78,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,7900,7801,1.634
79,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8000,7801,1.634
80,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8100,7801,1.634
81,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8200,7801,1.634
82,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8300,7801,1.634
83,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8400,7801,1.634
84,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8500,7801,1.634
85,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8600,7801,1.634
86,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8700,7801,1.634
87,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8800,7801,1.634
88,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,8900,7801,1.634
89,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,9000,7801,1.634
90,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,9100,7801,1.634
91,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,9200,7801,1.634
92,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,9300,7801,1.634
93,0.55511,1774578458457,307.80316,150.89621,100,3000.0,30.0,10.0,9400,7801,1.634
94,0.31572914,1774578458457,303.8178,154.75085,100,3000.0,30.0,10.0,9500,9462,1.901
95,0.16532898,1774578458457,305.6171,152.35033,100,3000.0,30.0,10.0,9600,9562,1.919
96,0.16532898,1774578458457,305.6171,152.35033,100,3000.0,30.0,10.0,9700,9562,1.919
97,0.16532898,1774578458457,305.6171,152.35033,100,3000.0,30.0,10.0,9800,9562,1.919
