iteracion,media,std,mediana,q25,q75,minimo,maximo,count
71,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
72,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
73,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
74,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
75,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
76,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
77,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
78,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
79,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
80,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
81,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
82,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
83,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
84,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
85,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
86,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
87,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
88,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
89,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
90,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
91,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
92,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
93,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
94,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
95,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
96,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
97,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
98,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
99,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
100,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
101,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
102,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
103,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
104,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
105,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
106,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
107,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
108,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
109,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
110,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
111,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
112,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
113,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
114,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
115,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
116,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
117,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
118,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
119,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
120,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
121,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
122,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
123,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
124,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
125,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
126,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
127,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
128,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
129,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
130,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
131,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
132,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
133,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
134,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
135,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
136,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
137,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
138,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
139,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
140,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
141,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
142,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
143,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
144,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
145,0.014260,0.022460,0.002120,0.000939,0.019155,0.000854,0.056657,7
146,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
147,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
148,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
149,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
150,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
151,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
152,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
153,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
154,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
155,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
156,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
157,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
158,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
159,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
160,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
161,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
162,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
163,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
164,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
165,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
166,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
167,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
168,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
169,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
170,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
171,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
172,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
173,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
174,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
175,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
176,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
177,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
178,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
179,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
180,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
181,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
182,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
183,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
184,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
185,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
186,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
187,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
188,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
189,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
190,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
191,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
192,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
193,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
194,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
195,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
196,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
197,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
198,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
199,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
200,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
201,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
202,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
203,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
204,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
